,Unnamed: 0,channel.name,program.name,text,prob_soft_news_us,full_date
2312047,2632571,CNN,CNN Newsroom,"law, Pamela, provides stiff penalties for human smuggling especially for any type of incidents that might result in someone's death which could include up to life in prison -- Pamela. BROWN: And we know there are three dead at least. Josh Campbell, thank you so much. And on the phone with me now is Lieutenant Rick Romero. He is with the lifeguard unit of San Diego's Fire and Rescue. Lieutenant, thank you for coming on the show. If you would, walk us briefly through what happened today when the call for help came in. What did your first responders see when they got there? LT. RICK ROMERO, SAN DIEGO FIRE AND RESCUE LIFEGUARD: Well, Pamela, I was one of the first responders on scene and it was a big mess along the coastline. There were people actively drowning, getting pulled off by rip currents. There were people on the base of the shoreline there. First report was there's bystanders doing CPR down below. So there's a lot going on when we first arrived on scene and trying to kind of take in what we need to do, to do the rescues. That was the first response. BROWN: Wow, I mean, just to show up and you're seeing people drowning. I mean, how do you even know what to do in that situation when there are so many different scenarios going on? People dying, people drowning, out calling for help. What was that like and how did you know how to go about rescuing them? ROMERO: Well, that's what we do. We train all the time for that obviously. But we have more than a lot of people, it's -- we need to get some more resources here especially on the medical side. So we had two lifeguard jet skis coming, two rescue boats on scene. We picked up seven people in the water who were actually drowning. Two of them were pronounced a little bit later on when they were transported back to the dock. And then just as the number started coming in, how many people were actually involved, the number kept on escalating so we're running out of ambulances, putting in a call for greater assistance to bring in more medical attention, so that's what we did. There was a lot of people there. Multiple agencies and the goal is to make rescues, provide people with great patient care and transfer as quickly as possible. And then, you know, take into account of what's going on, what are the dangers, what were the assessment, can you quickly assess someone and move on. All that kind of took place in a pretty quick amount of time. BROWN: So Customs and Border Protection officials are almost positive that this was a human smuggling operation that went horribly wrong. How often do you see that type of boat off of San Diego, and how concerned are you that this has the potential to happen again? ROMERO: Well, it's a pretty big",0.2027065527065527,2021-05-02
1268926,1580979,CNN,State Of The Union With Candy Crowley,"for you something that your Senate colleague, Marco Rubio, said on the floor. (BEGIN VIDEO CLIP) SEN. MARCO RUBIO, (R) FLORIDA: They didn't have enough security. They maybe shouldn't have even been there at that stage in the process. Who's responsible for that? The buck stops with Hillary Clinton. (END VIDEO CLIP) CROWLEY: First of all, that was Marco Rubio On Fox News. but to his point, let me ask you, is Hillary Clinton partially to blame for this lack of security and therefore accountable for those deaths? KING: Well, I've thought a lot about that, Candy. That's a hard question. It's ultimately a political question. Yes, she was secretary of state. Was she the person making decisions about security at U.S. facilities? By the way, there are over 100 around the world that have security. Did somebody come to her and say we need more security at Benghazi and she said, no, don't bother? There's no evidence that I've seen that she was directly involved in that decision. On the other hand, she's the CEO. She's the boss. And I've gone back and look at the law and how you hold CEOs accountable for lapses down the line. And, generally, the standard is there has to be some either knowledge or participation in the decision. As I said at the beginning, I think the American people are going to have to make this decision. I'm not being a partisan of Hillary here, but I do think, you've got an organization with 20 or 30 or 40,000 people to say that an individual decision about one facility is the responsibility the boss who really wasn't making that decision. Now, having said that, there's no question the state department screwed up here. And there should be accountability, in my opinion, who made -- who did make that decision in light of all the information and why and I think that's a very fair question. And frankly, I'm surprised and disappointed. I know some people who have been sort of shifted around, but you know, if accountability means anything, it means somebody paying a price for having made a disastrous decision. CROWLEY: Right. So, then report people that kind of put on leave but then they were abound not to have done anything terribly wrong, and they were shift around to other jobs. So, you would agree that no one has been held accountable for the fact that the state department failed whether in the person, Hillary Clinton, or anyone else at the state department. They failed to protect U.S. property and the U.S. people in it despite all those warnings. You think someone should have been fired. KING: Yes. I agree. I haven't seen any real accountability and I think that's been a failure in this whole process. And actually, Susan Collins, my colleague from Maine, had a kind of addendum to the report where she identified some people that she thought should be held accountable based upon her work on",0.2324987510652678,2014-01-19
2046223,2363122,CNN,CNN Newsroom,"wouldn't get any work, and when I started I remember when I first started my first 20 pounds, I was so excited about that, and that is really enough to keep you going, but I just kept, you know, having faith that things would get better and obviously I was in a University, so student loan was helping me at the time, it was more when I got out of University that I was like, awe this is not paying the bills! But, you know, it's paid off in the end, it's just about persistence. UNIDENTIFIED FEMALE: Sherrie is heavily involved in projects helping children in Rwanda and Nigeria. When she is not dancing, she dedicates a lot of time to them. SILVER: Every human being has a duty, I think there is enough money in the world to help everybody, but it's just not distributed equally. So, I know from the small amount that I get from teaching African culture, I am obliged to go back and give back to the people who originate these things. UNIDENTIFIED FEMALE: Professionally she appears to have the world at her dancing feet, but perhaps she feels the most important thing of all is being a good role model. SILVER: A lot of people call me an African queen, because I think a Queen is supposed to be somebody who is inspirational and give that positivity, somebody who gives back to their community that they love so much, probably that is a hero and positive in that and that is all I'm trying to be for my continent which I love so much. (COMMERCIAL BREAK) UNIDENTIFIED FEMALE: Wamara, W-A-M-A-R-A, Wamara. UNIDENTIFIED MALE: Yes. UNIDENTIFIED FEMALE: This was the moment when a young girl from an unexpected place became a champion. UNIDENTIFIED MALE: You're champion for the year 2018, who is going to represent Ghana and the rest of the African continent in the United States of America, put your hands together one more time, for Shifa Amankwa-Gabbey, a champion! SHIFA AMANKWA-GABBEY, SPELLING BEE CHAMPION: My Africa is tenacious, my Africa is auspicious, my Africa is like a p-h-o-e-n-i-x, phoenix. I'm 12 years old and I'm Shifa Amankwa-Gabbey from Kumasi Ghana and I'm Africa's only speller in the 91st national spelling bee. UNIDENTIFIED FEMALE: Before she became a champion, Shifa was a typical mild mannered student. UNIDENTIFIED MALE: She is always with her books, she doesn't play much. She is very good in class. At age seven, she told me she wanted to take part in the spelling bee, and I said, no, (inaudible), so I discourage her at that point. AMANKWA-GABBEY: We all forgot about this until last year. I enrolled myself, I had too much interest in it, and it went on for a while, I told him and he said fine, he had no problem with it. C-R-A-M -- UNIDENTIFIED FEMALE: Shifa's father began training his daughter at home, because he knew this wasn't just any spelling bee. UNIDENTIFIED FEMALE: In",0.4410843147992818,2019-07-12
1809079,2125039,CNN,New Day,"issue for this man and that's why he is projecting it onto the race. That is not so dissimilar from what we expect from a lot of voters today. There's something very personal about this election. The idea of reproductive rights of the role of faith in society and our culture, those are big issues for people down there, and Roy Moore is banking on them, yes? DAVID GREGORY, CNN POLITICAL ANALYST: Yes, no question about it. And I think he's banking on a sense that voters in the state might feel that many around the country and in the news media and in the establishment in Washington are looking down their nose and saying Roy Moore is not fit to be in this institution of the Senate, that he has done things and believes things that disqualify him. And people may not look at the substance of those things. They may want to discredit the women that accused Roy Moore of misconduct or, you know, look aside as his wife uses textbook anti-Semitism to defend their views about Jews and say, no, we are just going to vote on the fact that this is a strong conservative who is against abortion rights and is a Christian whom we can really put our faith in. What is true about the stakes in the election is it has become a proxy fight in the country writ large. It's almost as if this is a president election. Every major political figure from both parties is involved in trying to get out the vote in this state in what is going to be a low turn-out election, one that is absolutely going to favor Roy Moore. But the Republican Party is torn apart over this race, and that's one of the reasons the stakes are very high in a close divided Senate. CAMEROTA: Hey, Chris, about 74 year old Nathan Mathis who was just on with us, if he can work his way around to feeling so different because of his own personal experience with his gay daughter, is there any chance that times are changing and that Roy Moore's positions on homosexually, on blacks, on women, on Jews, these are things that he has said that maybe times have changed in Alabama. CHRIS CILLIZZA, EDITOR AT LARGE, CNN POLITICS: I do think tonight will give us some indication of that, Alisyn, but David makes a really important point, which is this is a December 12th special election. It's two weeks before Christmas. This is not a standard issue vote. Most voters are not used to voting at this time. So what's difficult, I think, is that -- this is not -- I don't think we should necessarily, though people will, take of whatever happens that this is somehow indicative of what Alabama thinks. It's indicative of what the people paying attention to this election are willing to turn out at this time think. The higher the turnout, the better for Doug Jones,",0.1383205400260232,2017-12-12
2336892,2657564,CNN,Cuomo Prime Time,"the White House concerning speech parameters. Former federal prosecutor, Elliot Williams joins me now, to dig into the congressman's legal arguments. A little bit of context, Elliot. First, so this is a civil suit. This is a private lawsuit filed by Eric Swalwell, against Mo Brooks, and others, seeking accountability for the events of January 6. Is the lawsuit viable? ELLIOT WILLIAMS, CNN LEGAL ANALYST: It is. But here's the thing, it's not just Mo Brooks. It's Mo Brooks, the individual, in his personal capacity, not Mo Brooks, the congressman. And the tricky question here, Michael, is where does, the man end, and the congressman begin? Now, Representative Swalwell's lawsuit claims that these are all statements that are made, in his personal capacity. What Representative Brooks has said, in his filing today is ""No, no, no, no, no. This happened during the workday. It happened on the grounds of Congress. I was driven there by a member of my staff. Therefore, this must have been an official act of me, as a congressman. And therefore, you can't sue me for it."" SMERCONISH: Elliott, you know that the discussion continues in the House of Representatives, about a congressional inquiry into January 6. In fact, I'll be talking about it in just a moment. But, as a plaintiff's lawyer, as a trial lawyer myself, I look at this, and wonder, might the discovery phase, from this litigation, bear fruit? WILLIAMS: Absolutely, there's no question that it will, because there's open questions as to number one, as you teased in the beginning, what kinds of communications were there, between Representative Brooks and the White House? Number two, what conversations were there between among members of Congress? Number three, what communications were there between the President and other members of Congress? And all of that's going to come out in litigation. It's just this tricky question, like I said, of whether you can actually sue these people. And there's a - there's an expansive definition, as we saw just, I guess, a month ago, with Donald Trump, and the defamation suit that was claimed to be in his personal capacity, even though it was given at a press conference. If you remember the E. Jean Carroll lawsuit, where he was alleged to have defamed someone, while in a White House press conference, it was claimed to be ""Well, this isn't personal conduct. He's the President of the United States."" And courts and, frankly, the Justice Department right now, regard the definition of ""In the scope of employment"" quite broadly. SMERCONISH: Start taking down names, and kicking ass, the words of the congressman on that day. WILLIAMS: Yes. SMERCONISH: And in his response to Eric Swalwell, I may be able to put a full screen up that shows this, but I can tell you, he said, ""Well, the context is important because the words of the sentence or the paragraph actually began ""As such."" And in context, when I talked about kicking ass, I was",0.0726988966318234,2021-07-02
1102055,1401095,CNN,Nancy Grace,"the lakeshore. GRACE: So it`s a gorgeous area. Lake Lanier is a very high-profile resort area. And this picnic area where this little girl, a 16-year-old sophomore in high school, was last seen sitting. I`m confused tonight. I`m wondering why she was afraid to ride her own school bus. And what do we know about mystery tweets that were left behind? Back to Ninette Sosa, reporter 106.7, there at the scene. What can you tell me about the early evening when she was last seen? 7:30 in summer hours, that`s still broad daylight. SOSA: And especially in Georgia, Nancy, because here it stays light until after 9:00 PM throughout the month of August, early September. So it`s not as though it`s a night sky, by no means. But what`s curious about this are the tweets leading up to that date. And maybe credit to the mom for being so prompt within that window time of three hours. She was seen there at 7:30, according to authorities. By 10:15, the mom`s making a phone call about her missing daughter because it`s too late for her to be out. GRACE: You know, what`s interesting is that the neighbors saw her. It`s not like she was in some secluded area. Back to Ninette Sosa, joining me there on the scene. This is an exclusive resort area there on beautiful Lake Lanier, a lot of boating, a lot of celebrities go boating there, have homes there. Ninette, where she was sitting, it was the picnic area there in that wooded complex. Let`s pan back. This is just a gorgeous area, very rural, right there where -- by the entrance to the gated community. Ninette, explain to me where the picnic area was. SOSA: That picnic area is going to be right behind the apartment complex. That is -- and she was found a short distance from there, but the following evening, right about 7:00-ish. So sometime between 10:15, when Mom calls, My daughter is missing, and then to the following night, by 7:05, 7:15, her body is found in a wooded area. And a lot of times, you don`t associate -- or people think, Well, if you`re next to the lake, how can it be wooded? But you know, that`s Georgia. It`s just that way. You got the -- you got the presence of forestry, and then right there you also have beautiful Lake Lanier. So the setting is just -- it`s not a risque (ph) setting by no means. It sounds safe. GRACE: Everybody, we are taking your calls. I want to go out to John Phillips at 790 KABC. What more can you tell us about the night she goes missing, John? JOHN PHILLIPS, KABC: Well, those mystery tweets that you were referencing, Nancy, happened not a long time before this. It happened the day before, the last one, where she foreshadowed that there was something wrong. There was a tweet unrelated to the foreshadowing tweets that particular day. As you mentioned,",0.9328239746546834,2012-09-14
2284594,2604844,CNN,State Of The Union,"on the evidence and the data. Very quickly, the situation with the U.K. a bit different, because they're talking about an entirely different vaccine platform. They're talking about a vaccine that was developed using a chimp adeno-vector, as opposed to the mRNA. So, they really are not comparable, when you talk about the duration that you will wait before you get the second dose when you're talking about Pfizer or Moderna, which is what we're using here in the United States. BASH: That's a really important explanation, because there are a lot of people confused about it. Let's talk about schools. Dr. Fauci. The administration says that schools should open in person, as long as they are following the five steps from the CDC, like social distancing and wearing masks you talk so much about. Given the science, are schools being too cautious, do you think? And are there schools closed right now that should be open in person? FAUCI: You know, I mean, obviously, it's a very difficult situation to get an absolute definitive answer. What the CDC has tried to do is look at the risks that you have and try, if you follow the CDC guidelines, to get the children back in school, at least with hybrid, and maybe, even when you actually have increased spacing with them, that you can get it in what's called a decreased capacity. If you do the four or five things that the CDC recommends, the bottom- line goal that I think people need to remember is that -- and I have said this way before the CDC guidelines came out -- that the default position is to do whatever you can, as best as you can, to get the children back to school, with safety concerns for the children and for the teachers and the educational personnel. And that's what we're trying to do. That's what the president is talking about, about getting those K-12 schools open within the first 100 days. BASH: But the... FAUCI: And that is what we want to do. BASH: Yes. And so, for administrators, superintendents, teachers listening to you right now, what is your advice to them? Should they push the boundaries more than they are? Because there's a lot of frustration out there that the CDC guidelines are -- as you explained, they're pretty clear. But the schools are dragging their feet. FAUCI: Well, yes, I mean, obviously, the situation the ground, the teachers are going to make their decisions, and the schools are going to make their decisions. The CDC gives guidelines. If you follow the guidelines, I think it will go a long way to be able to get the children back to school in the safest way as you possibly can. One of the things that comes up is that we will be doing more and more of -- and I think these are things that are important to put into the mix of the consideration -- is that teachers",0.1769299219357419,2021-02-21
1985739,2302377,CNN,CNN Newsroom,"out there say, -- BROWNSTEIN: Right. CABRERA: -- a border wall does not merit a national emergency declaration? Tiffany, what's your take on that? TIFFANY CROSS, CO-FOUNDER AND MANAGING EDITOR, ""THE BEAT D.C."": Well, I think he's won the battle but not the war. He's now set up a precedent for when there's a Democratic White House, that these people can do the same thing. Ana, we've gone from talking about one hoax to another. This whole idea of a national emergency is a hoax. And let's just point out, if we may, the hypocrisy of the mega-crowd who cheers this on. In order to do this, he's taking away funding from our armed services. Where are all these people who are all about supporting the troops? And to do this, he would have the take away land from private citizens to build this wall that he wants to build. I'm sorry, where are all these small government Republicans who scoffed at such a thing? I remember when that right-wing nut had a stand-off in Nevada with law enforcement over this very issue. And he had a whole amen (ph) corner cheering him on to protect his land. Yet, now that this wall is coming, it's no problem. You also have Customs Border Patrol turning away unaccompanied children seeking asylum. I'm sorry, where are all the pro-life people who love fetuses but don't love live children in the dessert trying to save their lives? This is hypocrisy and we have to call it out for what it is. And as long as we keep putting a blanket and a pretty bow over this type of ridiculousness, then it'll keep -- it will continue. I think we have to call the president out in the main problem are the followers because that's who this wall is for. CABRERA: Democrats and Republicans both believe that border security is an issue that needs to be addressed. It's part of why they passed the amount of money that they did in the spending bill. But when it comes to whether it's an emergency, Ron, I want to play the sound bite. The chip from the president's Rose Garden -- BROWNSTEIN: Yes. CABRERA: -- announcement yesterday that you referred to. BROWNSTEIN: Yes. (BEGIN VIDEO CLIP) DONALD TRUMP, PRESIDENT OF THE UNITED STATES: And the wall, they skimped. So, I did -- I was successful, in that sense. But I want to do it faster. I could do the wall over a longer period of time. I didn't need to do this. But I'd rather do it much faster. And I don't have to do it for the election. I've already done a lot of wall for the election 2020. And the only reason we're up here talking about this is because of the election. (END VIDEO CLIP) CABRERA: So, Ron, as Democrats have also said, if he didn't really need to do it, then it must not be an emergency. We know there are Republicans",0.3052085311470686,2019-02-16
955270,1241120,CNN,In The Arena,"Republican is beating President Obama by eight points -- There ought to be an anger issue. LAZIO: Absolutely. FOREMAN: Look at the debt talks, jobs, unemployment, everything under the sun seems to be going against normal Americans. LAZIO: And they want it fix. People want it fixed. They don't want to see more stalemate, more name-calling and blame-shifting. They want to see the deficit addressed in a straightforward, honest way and they're not seeing, my view, not seeing the president do that. They know that the economy's not creating the kind of jobs that we need. I mean, we're at 9.2 percent unemployment. We've got millions of Americans, almost 20 million Americans either out of work, can't find a job that they want, or are so turned off that they're outside and not even looking for a job anymore. It is a profound problem facing America and they're not seeing, in my view, a president who's stepping up and saying, here's the way forward. He tried something with the stimulus package. He put some political capital behind that and I think people look at it and say, didn't look like it worked. FOREMAN: You've got to give Michele Bachmann credit for this. She steps up, and one of the complaints against some of the other candidates, more traditional Republican candidates, maybe why some people aren't satisfied with the field, they still hear things that sound like politics. They like the idea of somebody who says, by golly, I'll solve the problems. KORNACKI: Yes, she connects at an emotional level. I think what surprised people in the first, you know, two months or so of her campaign is she's actually got more polish and more poised than people anticipated. LAZIO: In that debate -- KORNACKI: Exactly, when Sarah Palin speaks you kind of scratch your head, what is she trying to say? She connects at an emotional level, but she can't back it up with the poise and - but, boy, Michele Bachmann really can. FOREMAN: I'm going to have to call it done at that point. Steve Kornacki, thanks for being here. Rick Lazio, a great pleasure talking to you both.> Coming up, soak the rich. It's a tried and true way to win votes and it may be one way to help balance the budget. The only problem is this. Where does rich leave off and middle class begin? (COMMERCIAL BREAK) FOREMAN: In all of these debates on the debt ceiling one of the things you hear over and over again is tax the rich and with good reason. A lot of Americans like this idea. Here's a poll from Quinnipiac University. An agreement to raise the nation's debt ceiling should include spending cuts? 25 percent of the people think so. Tax on the wealthy, 67 percent. That's a whopping number in Washington terms. Think we should be taxing the wealthy more. So the question is, who exactly are the wealthy? How many of them are out there. The",0.1984831565233575,2011-07-14
420011,645444,CNN,Paula Zahn Now,"just two weeks ago, she wrote, ""When I attempted to leave, he choked me twice. He also threatens to kill me if I ever left him."" Bonnie apparently trusted that she would be safe in the shelter, a location that was supposed to be a secret. (on camera): Does everybody in this town know where that shelter is? Really? CHIEF JEFF JAMISON, SYLVA POLICE: No, I wouldn't say so. The longer that a location is in existence, then of course the more well- known it becomes. DORNIN (voice-over): Jane Boxdollar (ph) is director of the shelter. (on camera): Was he able to just open the door? UNIDENTIFIED FEMALE: It was when a shelter person was coming out. DORNIN: A shelter person was coming out, and he was able to force his way in by pointing his gun. UNIDENTIFIED FEMALE: Right. DORNIN: (inaudible) hit the panic button? UNIDENTIFIED FEMALE: No. That's as much as I'm able to really say. DORNIN (voice-over): Words that chill the hearts of many abuse victims and the people who try to protect them. JAMISON: When you're dealing with an individual that is as determined as Woodring has shown himself to be and with such a twisted obsession, that it becomes very difficult to safeguard them completely. (END VIDEOTAPE) DORNIN: But safety, of course, is the number one priority for a domestic violence shelter. So now 60 shelters in North Carolina are on high alert, and they're asking some tough questions, Paula. ZAHN: And Rusty, as they should. You mention Woodring is on the run. What are investigators telling you about the status of this manhunt? Are they any closer to getting this guy? DORNIN: There were unconfirmed reports of a sighting outside of Chicago, but apparently they're trying to get the video at a toll booth where this person was seen. We haven't heard anything back on that yet. But they say this man is no Eric Rudolph. He doesn't have the survival skills, despite the fact he is an ex-Marine. And they don't really believe that he's hiding out in the mountains around Sylva, North Carolina. ZAHN: Rusty Dornin, keep an eye on it for us. Thanks so much for the update. And in just a minute, we're going to move along to the countdown of tonight's top 10 stories on CNN.com, including the very latest recall involving tainted spinach. And then a little bit later on, former New Jersey Governor Jim McGreevey opens up about his secret life. Plus, an eye-opening look at just how many gay men are married to women and keeping their true identity secret, even from their wives. (COMMERCIAL BREAK) ZAHN: And there's much more top story coverage ahead. Right now, though, we're going to check in with Melissa Long in our pipeline studio for our countdown of the day's top 10 stories on CNN.com. Fire away, Melissa. MELISSA LONG, CNN ANCHOR: Good evening, Paula. More than 20 million people logged on to our Web site today, CNN.com, to find",0.2352207977207977,2006-09-25
