,Unnamed: 0,channel.name,program.name,text,prob_soft_news_us,full_date
302325,498041,CNN,Nancy Grace,"there, it would have been found, although it`s sitting right in the middle of the ocean. There`s that possibility, too, Karl. PENHAUL: Well, there have been a number of developments on the search front, in fact, Nancy. Because the FBI specialist dive team, you`ll remember that that was requested, and that was going to be brought in. It was brought in, but those divers never dived. And those divers have now left, according to our FBI contact. And the reason they left is because no area was ever pinpointed for them to search. We`ve also talked to Aruba search-and-rescue teams. And they say today they have been doing their own thing, basically. Normally, they take the lead from the government in order to pinpoint certain areas where they can search. But the government ministries are no longer providing them with any area to search because most of the public areas have now been searched. So that throws up the question, where to search now? GRACE: Karl, wait a minute. You told me the divers left without putting a toe in the water? Is that correct? PENHAUL: Not a toe, not a flipper, Nancy. They haven`t been in the water. GRACE: OK, wait a minute. Wait. Wait. And you`re saying it`s because they don`t know which part of the beach to search? Why don`t they try starting with the beach where the guys say they took her? PENHAUL: Again, I`m not privy to that kind of information. But what one of the search-and-rescue team members did explain is that he would have expected the dive teams to be diving off some of the craggy shorelines where the currents are strongest, the currents that are being channeled in through that narrow stretch of sea between the southern coast of Aruba and the northern coast of Venezuela. But again, they`re also here as guests of Aruba. They can`t operate independently. And the FBI contacts have said it`s because the government of Aruba hasn`t pinpointed the areas where they should be searching. That`s why they didn`t go in the water. That`s why they`ve now left, Nancy. GRACE: Quick break, everybody. We`re going back live to Aruba. But first, to ""Trial Tracking."" Tonight, as you know, we have been looking for Patrick Welsh. Welsh, the 22-year-old college student who disappeared in April during a trip to New York City. His body was found last week in New York`s Hudson River. His family was contacted just last night. Patrick was a writing major. He had planned to graduate in December. No word on Patrick`s cause of death. As of tonight, what happened to Patrick remains a mystery. (COMMERCIAL BREAK) GRACE: Natalee Holloway went on her senior trip. She`s a beautiful Alabama girl. She looks like a beauty queen, full scholarship to University of Alabama. She has not been seen since. Welcome back. Let`s go straight to Aruba. Two men in custody tonight. Let`s go to Chris LeJuez. He`s defense counsel for Abraham Jones. Chris, do you",0.75379330247633,2005-06-08
444504,672888,CNN,The Situation Room,"you served in the White House under Bill Clinton. All of a sudden now -- we thought we knew the story, a year ago, when he pleaded guilty, paid the $50,000 fine, and had his security clearances removed for three years. But now it turns up that there was -- there is more to the story, and he actually took the documents, classified documents, top-secret documents, outside of the National Archives, and actually hid them underneath some construction site, and then came back an hour or so later to take them to his office, which shows that there was more than just a sloppy, nerdy Sandy Berger, which was earlier projected as the case, someone who just got overwhelmed. BEGALA: Yes. I say this as somebody -- I not only worked with Sandy. I love the guy. And I think he's a great patriot. And, yet, this was an enormous mistake he made. And let's call it what it is. It was a crime. Now, to his credit, after he committed the crime, which is a serious one, Sandy pleaded guilty. He confessed. And he took the punishment that the judge meted out, maybe not the punishment Jack Cafferty thinks he should get, but that's the punishment the judge gave him. And, so, at least there was accountability. And I do wonder if there is a bit of a double standard. The Bush administration prosecuted Sandy for this, as they should. It's a crime. But, yesterday, the president was asked at his press conference by Mark Knoller of CBS whether Mr. Bush was going to prosecute the people who leaked his aide Stephen Hadley's memo, which was classified. Or he might have been asked, why aren't they prosecuting whoever leaked Donald Rumsfeld's classified memo? And Mr. Bush said: Gee, it hasn't -- it's not fresh in my mind. I don't even know if I ordered an investigation. So, if a Republican leaks something, we don't prosecute. If a Democrat does, we do. It's a double standard. (CROSSTALK) BUCHANAN: First of all, this is not leaking. And this is not Sandy Berger taking responsibility. The reason Sandy Berger took responsibility is because he got caught. He lied his way up to the last minute, until they had the goods on him. And then he got himself the first-class attorney to get himself out of something. Get himself out of jail time is what he did. But the key here, I think, is, what this exposes is a man in the Clinton administration, a top fellow in national security, was deliberate in his effort to make certain documents were destroyed that would have obviously been incriminating to Clinton and... (CROSSTALK) BEGALA: Not incriminating. Nobody suggests they were incriminating. BUCHANAN: Well, no. Stop. You think that this man went in there and stole documents and destroyed them that would make him look good or make Bill Clinton look good? BEGALA: No, no. I'm sure... (CROSSTALK) BEGALA: ... it cast him and his boss,",0.1860682728589108,2006-12-21
839866,1115023,CNN,CNN Newsroom,"trial of former Liberian president Charles Taylor. What's this whole thing about? They're trying to determine if Taylor ever handled so-called blood diamonds that were at the center of this civil war in Sierra Leone. And Campbell, she's involved because she said she was given ""dirty-looking stones"" after a dinner with Nelson Mandela in South Africa, presumably from Taylor. Here's what she told the court she did with those stones. (BEGIN VIDEO CLIP) NAOMI CAMPBELL, SUPERMODEL: I wanted to find my friend who's someone I trust and does great things in South Africa for charity, to give them to him to do something with. I didn't want to keep them. And that's exactly what I did. (END VIDEO CLIP) BALDWIN: And Josh Levs now joining me a little bit of background and some of the courtroom drama today. Josh Levs, how is it in there? JOSH LEVS, CNN CORRESPONDENT: There were some real fireworks in there. I mean, it's been interesting to follow this throughout the day. Yes, let me talk to you about some of the basics. First of all, how often do you even see anything remotely like this? You've got a supermodel, testimony at The Hague, and this is the war crimes trial of Charles Taylor. Let's recap who he is. He's the former ruler of Liberia. He's accused of stirring up a civil war across the border in Sierra Leone from '91 to 2002. About 50,000 people would killed there. All sort of atrocities have been reported from what happened there. And prosecutors argue that he paid for what he did using diamonds. Prosecutors actually rested their case more than a year ago, but they reopened it now to subpoena Naomi Campbell. And here's how she fits in. It was back in '97. She was with him at this event, along with other dignitaries. And she says it was later that night that these two mystery men gave her these rough, dirty diamonds that she assumed came from Taylor. And she has said that the next morning, she was with Mia Farrow and her former agent Carol White (ph), and she said that someone -- she doesn't remember who -- suggested the diamonds came from him. Prosecutors want to link Taylor to those diamonds. So here, today, is Naomi Campbell being grilled by Taylor's defense. (BEGIN VIDEO CLIP) UNIDENTIFIED MALE: Neither of the men told you that these diamonds came from Charles Taylor. Is that right? CAMPBELL: Correct. UNIDENTIFIED MALE: Furthermore, the next morning at breakfast, you did not tell either Mia Farrow or Carol White (ph) that the men said the diamonds came from Charles Taylor, did you? CAMPBELL: No, I did not. UNIDENTIFIED MALE: The suggestion about Charles Taylor came from one of them? CAMPBELL: Yes. UNIDENTIFIED MALE: And so, consequently, it is pure speculation that these diamonds came from Charles Taylor. That's correct, isn't it? CAMPBELL: I just assumed that they were. UNIDENTIFIED MALE: But it's pure speculation, isn't it? (END VIDEO CLIP)",0.5574651087309315,2010-08-05
2146107,2464093,CNN,CNN Newsroom,"worse than Italy. I want to remind people neither of those countries had any food deprivations in the areas hardest hit. The markets still run. You would have to have it so bad that you would have to impact the supply chain and the workforce, working the supply chain. We're not even looking at numbers that close. So this is why I do not worry about it. Manufacturing is still working. And remember this is a cycle. So you see China coming back online. Italy will eventually come back online. It is going to be bad, but it's not bad forever. This is not a deprivation. If you have to wait a day or two, it doesn't mean it's going to last forever. I will tell you I worry about a lot of things, but this pandemic -- but this is not the thing I worry about. So that should make people maybe feel slightly better, but maybe not. So. VAUSE: Absolutely. If you don't worry about I don't worry about it. KAYYEM: Sure. VAUSE: That's good news. Thank you -- Juliette. Appreciate it. KAYYEM: Thank you so much. Take care. VAUSE: China continues to report new cases of the virus but mostly visitors from other countries. In fact, all but one of the new cases reported on Monday came from overseas. The World Health Organization says it shows that containment works. CNN's Steven Jiang with us now live from Beijing. You know, Steven -- containment may have worked, but the latest numbers from the -- about economy show that it is taking a huge hit because of the really tough measures that were put in place. STEVEN JIANG, CNN SENIOR PRODUCER: That's right. The economic data for the first two months of the year, they were just horrific, you know -- the industrial output as well as investments in fixed assets which means infrastructure really plummeted for January and February. That's why you are seeing the authorities here increasingly trying to get businesses back online across the nation, including increasingly in Hubei Province, the epicenter. But they are obviously trying to strike a very delicate balance here. On one hand they really try to get the economic engine revved up again but on the other hand they're obviously, understandably worried about a second wave of new infections and cases, not only because if they get mass movements people nationwide again, that creates more chances of new transmission routes. But also they are dealing with the challenge of import (ph) cases as you were saying. That's why you see these two steps forward, one step backward kind of scenarios being played out nationwide where authorities often announcing, the ease of restrictions one day only to walk them back the next day. So I think -- you know, despite all these hesitations, there is slow but sure signs of things slowly getting back to some sense of normalcy, especially outside of the epicenter. You know, traffic jams have come back to",0.3250062784773795,2020-03-17
1176987,1483366,CNN,Anderson Cooper 360 Degrees,"cheap. Packed with nails and ball bearings to cause maximum carnage. FUENTES: All of the equipment, all of the supplies involved in the Boston bombings was probably under a hundred dollars. GRIFFIN: And where would two brothers in Boston learn how to take a pressure cooker like this and make it into a bomb like that? Right here, of course. It's on the Internet. PAUL CRUICKSHANK, CNN TERRORISM ANALYST: The striking similarity between the Boston devices and a recipe which was put out by ""Inspire"" magazine in the summer of 2010. ""How to Build a Bomb in Your Mom's Kitchen."" GRIFFIN: Paul Cruickshank is a terrorism analyst for CNN. CRUICKSHANK: Now, these similarities include the fact that pressure cookers were used; an explosive shrapnel was used; a low- grade explosive powder was used. But, also, very specific stuff like the fact that ""Inspire"" magazine told followers that they should glue shrapnel inside the pressure cookers. Now, that's what was done in Boston. GRIFFIN: Published by al Qaeda in the Arabian Peninsula in English, the magazine was started by Anwar al-Awlaki, the American- Yemeni cleric who was killed by a U.S. drone strike. Cruickshank has been tracking al-Qaeda and this magazine for years. He says investigators are looking closely at whether the brothers Tsarnaev got their bomb recipe here. That could have larger implications. CRUICKSHANK: One of the largest concerns of Western counterterrorism officials is that ""Inspire"" magazine is still publishing new issues. In an issue that was put out recently, the magazine stated, ""We are publishing America's worst nightmare."" GRIFFIN: As investigators sift through evidence, the bits of bombs blown across the crime scene should yield other clues, too. RAYMOND LOPEZ, FORMER FBI SUPERVISORY SPECIAL AGENT: What were the components used in creating these devices? Coupled with that, you're going to have an investigation or laboratory sciences working on things like fingerprints, hair and fibers that may be included in there. And also tool markings. GRIFFIN: Ray Lopez is a former FBI explosives expert. LOPEZ: These things were made with tools, so there's going to be a look for tool marks that are left after these things were done. And that's going to be matched to any tools that they could find at any of the search sites that the investigators are working at. GRIFFIN: Officials now say at least one of the bombs was detonated with a remote control device similar to those used to control toy cars. Federal investigators must also now ask themselves hard questions like did they drop the ball with Tamerlan Tsarnaev? Two times, the Russian government approached the U.S. with concerns about the older brother, who later traveled to Chechnya. Upon his return to the U.S., Tamerlan posted this video, showing clear extremist tendencies. SEN. DIANNE FEINSTEIN (D), CALIFORNIA: What did he do when he went back for six months? Did he sit in his aunt and uncle's home for six months? Or was he doing something else? And when he came back to",0.5220544530725721,2013-04-28
2290429,2610730,CNN,CNN Newsroom,"MICHAEL HOLMES, ANCHOR, CNN NEWSROOM: Racist remarks, threats of suicide and feeling trapped. Just some of the damaging claims from Meghan and Harry's jaw-dropping interview with Oprah. The Pope wrapped up his historic visit to Iraq after celebrating mass to a packed stadium in Erbil. Plus, it is International Women's Day and in some countries women are still forced to choose between motherhood and career. Hello, everyone. And welcome to our viewers all around the world. I'm Michael Holmes. This is CNN NEWSROOM. And we begin with the breaking news. Stunning claims from the Duke and Duchess of Sussex in their highly anticipated interview with Oprah Winfrey which aired just a few hours ago. Harry and Meghan speaking candidly about everything from the British tabloids to racism with a blaring message that they did not feel supported by the royal family. At one point, Meghan admitting she thought about suicide. (BEGIN VIDEO CLIP) MEGHAN MARKLE, DUCHESS OF SUSSEX: But I knew that if didn't say it, that I would do it. And I just didn't want to be alive anymore. And that was a very clear and real and frightening constant thought. (END VIDEO CLIP) HOLMES: Now that was just one of many bombshell claims. Another stunning revelation; Harry and Meghan say that there were concerns about what color their baby's skin might be. They were told the baby wouldn't get a title or have security. And Meghan says the tabloid reporting that she made Kate Middleton cry ahead of her marriage to Harry was exactly the opposite of what really happened; Kate made Meghan cry. Also revealed. Both Harry and Meghan said they felt trapped in the institution and, at one point, Prince Charles apparently stop taking Harry's phone calls. Harry says while he loves his big brother -- William, of course -- the two of them need space to heal. All right. Let's get more reaction to all of this with our Anna Stewart who is in Windsor, England. I guess a lot of people wondered how far this couple would go, and I suppose the answer is far. The notion that she was suicidal and wasn't being heard and that someone, whomever that was, raised the color of her child -- it's pretty stunning. ANNA STEWART, CNN REPORTER: It's stunning. I think we were all prepared for some shocks and bombshells to be delivered, Michael. I didn't think I'd feel so concerned after this interview. The idea that Meghan felt suicidal at times when she was in the U.K. and as a member of the -- working member of the royal family back then -- I can't believe that all those public engagements we saw the couple at, I've been at many of them myself, that so much was going on behind the scenes. And yes, we were expecting to hear a bit about how there were racist undertones in the British media when it came to betraying Meghan. We were not expecting, I think, to hear",0.9297700790678318,2021-03-08
2408348,2729595,CNN,CNN Newsroom,"is it over? Does China in your view now believe, bearing in mind the recent ""patriot"" elections, so to speak, that it has got its hands around the neck of the place, it has put the pro democracy in their box or in jail and it is over? RIPLEY: I don't think that it is over, Richard. I think that we're witnessing in real time the complete and radical transformation of Hong Kong, from a beacon of free speech, a Chinese speaking -- not democracy but a place where people were free to fight for democratic values, to a place where all of those dissenting voices are silenced, just like any other Chinese city. We've seen it with the ""Apple Daily"" newsroom that was ambushed by hundreds of police officers. It is now shut down because all of its assets were frozen. We've seen it with all of the pro democracy politicians and activists, either now in jail or in exile, or out of politics, signing pledges not to get back into politics. You saw it with the ""patriots"" only election, patriots, of course, those only considered loyal to Beijing, patriots in the eyes of the Communist Party. And now we're watching the erosion of academic freedom, even at the university level. Professors admitting to self censorship, especially with classes moving online, where they can be more carefully monitored. Even students reportedly rumored to be reporting their teachers for violations of the national security law because of bad grades. It's a chilling effect and the self censorship, I think, is bound to continue and intensify here in Hong Kong. QUEST: Will Ripley, thank you, sir. But I see it is nearly coming up to midnight there, so if you look at Santa tracker, it is getting close to you. Last I checked, Santa was heading your way. It is nearly midnight. He is over China. So let's hope he gets out of there in one piece and then he will be down to -- RIPLEY: That chunk of coal that I got, did you send that to me? QUEST: There will be more than that. You just keep an eye on the Santa tracker. Seasons greetings, to you good friend. Have a good, peaceful Christmas. RIPLEY: Merry Christmas to you. QUEST: Santa is on his way. And business in Bethlehem now would typically be booming. In good years, it has been. This year it's because of COVID. One dressmaker is choosing to remain optimistic. And she was impeached, the former South Korean president, and was sent to prison. The government has given her a pardon, which requires explaining -- in a moment. (MUSIC PLAYING) (COMMERCIAL BREAK) (BEGIN VIDEO CLIP) (MUSIC PLAYING) QUEST (voice-over): They are continuing despite COVID, the traditional birthplace of Jesus, of course; Bethlehem, celebrations, nativity scenes and that official Christmas parade. COVID is there of course and that means fewer tourists for the second year. It is a damper on the season and of the spirit. But",0.3322343045680561,2021-12-24
1593453,1908634,CNN,The Lead With Jake Tapper,"want to get right to Wolf Blitzer. He's standing by with the presumptive Democratic presidential nominee, Hillary Clinton -- Wolf. WOLF BLITZER, CNN ANCHOR: Jim, thanks very much. Madam Secretary, thanks very much to you for joining us. Let me start with the deadly police ambush in Dallas overnight, the deadliest day for police officers here in the United States since 9/11. What would you do as president of the United States to prevent this from happening again? HILLARY RODHAM CLINTON (D), PRESIDENTIAL CANDIDATE: Well, first, Wolf, I have expressed my deep condolences and concerns to officials in Dallas and in the region there, including the county judge, the mayor, the police chief, because this is an absolutely horrific event. I also want us to remember that, just 24 hours before, we had a killing, with the loss of life in Baton Rouge, in Minneapolis. And, right before talking with you, it appears we had an additional event in Tennessee. This is deeply troubling. And it should worry every single American. You know, we have got to do much more to listen to one another, respect each other. We have got to do everything possible to, you know, support our police and support innocent Americans who have deadly encounters with the police. This is a kind of call to action. And, as president, I would implement the very comprehensive set of proposals that I have been making for more than a year, including, we must do more to have national guidelines about the use of force by police, especially deadly force. We need to do more to look into implicit bias and we need to do more to respect and protect our police. Look at what happened in Dallas. Those police officers were protecting a peaceful protest, a protest of authority, that is a hallmark of America. And when the shooting started and everyone else was fleeing, the police were moving toward danger. So, let's start understanding, putting ourselves in each other's shoes again and really coming together as Americans to end this kind of terrible violence. BLITZER: Madam Secretary, how would you bridge the divide between police officers who now feel targeted and African-Americans who also feel they are targets? CLINTON: Well, I think that is the most important question, Wolf, because we've got to do a lot more to bring the police together with the communities that they protect, and we have to have better lines of communication. As I said, we need national guidelines to really set out when force should be used and especially when deadly force should be used. Some police departments have really taken that to heart. They have done an excellent job over the last years, trying to figure out how to prevent any situation from escalating into the use of force. And, at the same time, we need communities to feel that they can trust the police, that the police are trying to protect them and that is going to take a",0.0247993976877678,2016-07-08
575955,822171,CNN,The Situation Room,"continues until 4:30 p.m., just south of the Dallas metropolitan area. But it does certainly include the suburbs. We're also looking to the north, where we have another tornado warning, and that is to the north of this region, kind of zoom in the area. It's near the Highland Park area. And this one also continues straight for another 30 minutes or so. So, we're watching severe weather, with rotating clouds, possibly tornadoes, in this region of Dallas/Fort Worth. Some of the strongest storms right now are south of the city. But Dallas right here, the downtown area, very close to where this warning is included. So, we will be watching this very closely and keep you up to date -- back to you, John. KING: Bonnie Schneider in the Weather Center -- Bonnie, we will check back as conditions warrant. Thanks very much. Presumed Republican presidential nominee John McCain is retracing the steps of his life, reintroducing himself to the American voters. Is this strategy compelling? Joining us for today's ""Strategy Session"" are Democratic strategist and CNN contributor Donna Brazile and Republican strategist Kevin Madden. Donna, I am going to ask this in reverse order. You're the Democrat. But John McCain is out doing this, Meridian, Mississippi, today. He will be in the D.C. suburbs today, where he went to high school, tomorrow, on to Annapolis, retracing his life, trying to tell his biography, and connect the dots of his biography to why he wants to be president now. You have managed a Democratic campaign for president. If you were running John McCain's operation right now, is this how you would be spending this valuable time? DONNA BRAZILE, CNN POLITICAL ANALYST: Absolutely, because, otherwise, he would have to explain what's going on in Iraq, and Basra, and Mosul. And, of course, he would have to explain his -- his plan to keep us there for 100 years. So, I think it's -- it's important that he try to explain who he is, so that, later, when he has to explain why, you know, he supported the surge and, of course, where we are today, it might help him out a little bit. KING: A little bit of the back of the hand there, but I think that was a yes. KEVIN MADDEN, FORMER ROMNEY CAMPAIGN NATIONAL PRESS SECRETARY: I have a feeling that that 100 years is going to be -- come up a lot from the Democrats. (LAUGHTER) KING: So, is this the way to do this? Or should he be saying, I'm different from Clinton on this; I'm different from Obama on that? MADDEN: Well, look, I think this is exactly the right thing to do. This campaign, ultimately, I believe, is going to come down to an important contrast of attributes. And what John McCain is looking to do with this tour is to drive home those very positive attributes of leadership and experience, because whether he runs against Barack Obama or Hillary Clinton, those are",0.4369256474519632,2008-03-31
1498844,1813684,CNN,Legal View With Ashleigh Banfield,"worth countless. Have you ever seen anything like you saw on Friday night? POURYA PASHOOTAN: Never, hopefully never. Dr. Pourya Pashootan, was off duty when the shots rang out across Paris. He raced to the hospital. PASHOOTAN: I went directly to the first floor where there was the most injured people. HARLOW: How many people did you treat on Friday night? PASHOOTAN: There was 27 person who came to the hospital and we are not used to seeing this kind of injury here. Maybe in other, in other country, maybe in the U.S., but we can see this kind of thing, maybe people use guns, here not. HARLOW: You're not use to treating gun shoots? PASHOOTAN: No, not so much. A few a year, but not tens of people coming all together in one place. There was many people we tried to help for each person, there was injury of the face, injury of the thorax, of the belly, some war scene. HARLOW: It was a war scene? PASHOOTAN: Yes. It was exactly that. The most difficult thing was the context, to see the fear in the eyes of the people who were coming. That's why most of them young people but it was everything, everybody were there and... HARLOW: All of different religion. PASHOOTAN: All different religion, just everybody. HARLOW: What was the message you were trying to say send with the photograph? PASHOOTAN: there was a big mobilization for everybody to save people. We came here to help people, it's our job. HARLOW: We are all together. PASHOOTAN: All together, yes. Everything was awful. The only thing that was incredible this night and quite nice was the mobilization of everybody. HARLOW: Somehow, with this photograph you found the good. PASHOOTAN: In the middle of this tragedy there was a little bit of hope. And we were there to show that we'll be always there. HARLOW: You won't give up? PASHOOTAN: Never. Never give up. (END VIDEOTAPE) HARLOW: Never give up. Our thanks to him and all of the doctors and the first responders here in Paris who saved countless lives last Friday night. Coming up next, the FBI says there are no known ties between the terrorists in Paris and anyone in the United States. But what about copycat, people that want to do what ISIS did in this city, and can law enforcement possibly keep their eyes on all of them? The live reports are next. (COMMERCIAL BREAK) BANFIELD: And we have this breaking news out of the Paris prosecutor's office. For quite some time now, we have thought that during the Wednesday's raid in a Paris neighborhood called Saint-Denis that a female suicide bomber blew herself up, and we are now being told that those reports are wrong. That apparently this woman did not blow herself up. That a male colleague who was standing close by did, and that she was killed in the explosion as well. Also, remarkably just in the last few hours, we",0.0174333262591963,2015-11-20
