program.name,matched.program,score
Capital Gang,CNN CAPITAL GANG,86
Reliable Sources,CNN RELIABLE SOURCES,89
"Evans, Novak, Hunt & Shields","CNN EVANS, NOVAK, HUNT & SHIELDS",92
"Evans, Novak, Hunt & Shields","CNN NOVAK, HUNT & SHIELDS",87
Special Event,LIVE EVENT/SPECIAL,84
Moneyline News Hour,CNN MONEYLINE NEWS HOUR,90
Burden of Proof,CNN BURDEN OF PROOF,88
Breaking News,CNN BREAKING NEWS,87
Showbiz Today,CNN SHOWBIZ TODAY,87
Crossfire,CNN CROSSFIRE,82
WorldView,CNN WORLDVIEW,82
Inside Politics,CNN INSIDE POLITICS,88
Inside Politics,INSIDE POLITICS SUNDAY,81
TalkBack Live,CNN TALKBACK LIVE,87
CNN Insight,CNN TONIGHT,82
CNN Insight,CNN Tonight,82
Showbiz This Week,CNN SHOWBIZ THIS WEEKEND,83
Saturday Morning News,CNN SATURDAY MORNING NEWS,91
Saturday Morning News,Sunday Morning News,90
CNN International Inside Asia,CNN International Inside Africa,93
CNN International Inside Asia,CNN INTERNATIONAL INSIDE AFRICA,93
CNN International Inside Asia,CNN INTERNATIONAL E-BIZ ASIA,84
CNN International Best Of Q&A;,CNN INTERNATIONAL Q&A;,84
CNN International Best Of Q&A;,CNN INTERNATIONAL Q&A-ASIA;,84
CNN International Best Of Q&A;,CNN International Best Of Insight,81
Business Unusual,CNN BUSINESS UNUSUAL,89
Your Health,CNN YOUR HEALTH,85
World Report,CNN WORLD REPORT,86
Sunday Morning News,Saturday Morning News,90
Sunday Morning News,CNN SATURDAY MORNING NEWS,82
WorldBeat,CNN WORLDBEAT,82
CNN International Best Of Insight,CNN INTERNATIONAL INSIGHT,86
CNN International Best Of Insight,CNN International Best Of Q&A;,81
Science and Technology Week,CNN SCIENCE AND TECHNOLOGY WEEK,93
CNNdotCOM,CNN CNNdotCOM,82
Larry King Live,CNN LARRY KING LIVE,88
CNN International Inside Africa,CNN International Inside Asia,93
CNN International Inside Africa,CNN INTERNATIONAL INSIDE ASIA,93
The Spin Room,CNN THE SPIN ROOM,87
The Point With Greta Van Susteren,CNN THE POINT WITH GRETA VAN SUSTEREN,94
Wolf Blitzer Reports,CNN WOLF BLITZER REPORTS,91
Ahead Of The Curve,CNN AHEAD OF THE CURVE,90
CNN AHEAD OF THE CURVE,Ahead Of The Curve,90
CNN BREAKING NEWS,Breaking News,87
CNN INTERNATIONAL ASIA TONIGHT,CNN INTERNAITONAL ASIA TONIGHT,97
CNN INTERNATIONAL ASIA TONIGHT,CNN INTERNATIONALASIA TONIGHT,85
CNN INTERNATIONAL ASIA TONIGHT,CNN INTERNATIONAL Q&A-ASIA;,82
CNN INTERNATIONAL INSIGHT,CNN International Best Of Insight,86
CNN INTERNATIONAL INSIGHT,CNN International Inside Asia,81
CNN INTERNATIONAL INSIGHT,CNN INTERNATIONAL INSIDE ASIA,81
CNN INTERNATIONAL Q&A;,CNN INTERNATIONAL Q&A-ASIA;,89
CNN INTERNATIONAL Q&A;,CNN International Best Of Q&A;,84
CNN INTERNATIONAL Q&A;,CNN INTERNATIONAL BIZ ASIA,81
CNN LIVE AT DAYBREAK,CNN AT DAYBREAK,86
CNN LIVE TODAY,CNN LIVE SATURDAY,84
CNN LIVE TODAY,CNN LIVE SUNDAY,83
CNN BURDEN OF PROOF,Burden of Proof,88
CNN CROSSFIRE,Crossfire,82
CNN CROSSFIRE,CROSSFIRE,82
CNN INSIDE POLITICS,Inside Politics,88
CNN INSIDE POLITICS,INSIDE POLITICS,88
CNN INTERNATIONAL Q&A-ASIA;,CNN INTERNATIONAL Q&A;,89
CNN INTERNATIONAL Q&A-ASIA;,CNN INTERNATIONAL BIZ ASIA,85
CNN INTERNATIONAL Q&A-ASIA;,CNN International Best Of Q&A;,84
CNN INTERNATIONAL Q&A-ASIA;,CNN INTERNATIONAL ASIA TONIGHT,82
CNN LARRY KING LIVE,Larry King Live,88
CNN LIVE EVENT/SPECIAL,LIVE EVENT/SPECIAL,90
CNN MONEYLINE NEWS HOUR,Moneyline News Hour,90
CNN NEWS SITE,CNN STUDENT NEWS,83
CNN TALKBACK LIVE,TalkBack Live,87
CNN THE POINT WITH GRETA VAN SUSTEREN,The Point With Greta Van Susteren,94
CNN THE SPIN ROOM,The Spin Room,87
CNN TONIGHT,CNN Insight,82
CNN WOLF BLITZER REPORTS,Wolf Blitzer Reports,91
CNN CAPITAL GANG,Capital Gang,86
CNN INTERNATIONAL E-BIZ ASIA,CNN INTERNATIONAL BIZ ASIA,96
CNN INTERNATIONAL E-BIZ ASIA,CNN International Inside Asia,84
CNN INTERNATIONAL E-BIZ ASIA,CNN INTERNATIONAL INSIDE ASIA,84
CNN INTERNATIONAL E-BIZ ASIA,CNN INTERNATIONAL Q&A-ASIA;,81
"CNN EVANS, NOVAK, HUNT & SHIELDS","Evans, Novak, Hunt & Shields",92
"CNN EVANS, NOVAK, HUNT & SHIELDS","CNN NOVAK, HUNT & SHIELDS",88
CNN RELIABLE SOURCES,Reliable Sources,89
CNN SATURDAY,CNN LIVE SATURDAY,83
CNN SATURDAY,CNN SUNDAY,82
CNN SATURDAY MORNING NEWS,Saturday Morning News,91
CNN SATURDAY MORNING NEWS,Sunday Morning News,82
CNN SCIENCE AND TECHNOLOGY WEEK,Science and Technology Week,93
CNN YOUR HEALTH,Your Health,85
PEOPLE IN THE NEWS,CNN PEOPLE IN THE NEWS,90
CNN BUSINESS UNUSUAL,Business Unusual,89
CNN INTERNATIONAL INSIDE ASIA,CNN International Inside Africa,93
CNN INTERNATIONAL INSIDE ASIA,CNN INTERNATIONAL INSIDE AFRICA,93
CNN INTERNATIONAL INSIDE ASIA,CNN INTERNATIONAL E-BIZ ASIA,84
CNN SUNDAY,CNN SATURDAY,82
CNN SUNDAY MORNING,CNN SUNDAY EVENING,83
CNN SUNDAY MORNING,CNN SUNDAY NIGHT,82
CNN WORLD REPORT,World Report,86
CNN INTERNATIONAL BIZ ASIA,CNN INTERNATIONAL E-BIZ ASIA,96
CNN INTERNATIONAL BIZ ASIA,CNN INTERNATIONAL Q&A-ASIA;,85
CNN INTERNATIONAL BIZ ASIA,CNN INTERNATIONAL Q&A;,81
CNN INTERNATIONALASIA TONIGHT,CNN INTERNATIONAL ASIA TONIGHT,85
CNN INTERNATIONALASIA TONIGHT,CNN INTERNAITONAL ASIA TONIGHT,81
CNN INTERNATIONAL INSIDE AFRICA,CNN International Inside Asia,93
CNN INTERNATIONAL INSIDE AFRICA,CNN INTERNATIONAL INSIDE ASIA,93
CNN INTERNAITONAL ASIA TONIGHT,CNN INTERNATIONAL ASIA TONIGHT,97
CNN INTERNAITONAL ASIA TONIGHT,CNN INTERNATIONALASIA TONIGHT,81
CNN CNNdotCOM,CNNdotCOM,82
BIZ ASIA,EBIZ ASIA,94
