program.name,matched.program
CNN International Best Of Q&A;,CNN INTERNATIONAL Q&A
CNN International Best Of Insight,CNN INTERNATIONAL INSIGHT
CNN AHEAD OF THE CURVE,Ahead Of The Curve
CNN BREAKING NEWS,Breaking News
CNN BURDEN OF PROOF,Burden of Proof
CNN CROSSFIRE,Crossfire
CNN INSIDE POLITICS,Inside Politics
CNN INTERNATIONAL Q&A-ASIA;,CNN INTERNATIONAL ASIA TONIGHT
CNN LARRY KING LIVE,Larry King Live
CNN LIVE EVENT/SPECIAL,CNN Event/Special
CNN MONEYLINE NEWS HOUR,Moneyline News Hour
CNN TALKBACK LIVE,TalkBack Live
CNN THE POINT WITH GRETA VAN SUSTEREN,The Point With Greta Van Susteren
CNN THE SPIN ROOM,The Spin Room
CNN WOLF BLITZER REPORTS,Wolf Blitzer Reports
CNN CAPITAL GANG,Capital Gang
CNN INTERNATIONAL E-BIZ ASIA,CNN INTERNATIONAL BIZ ASIA
"CNN EVANS, NOVAK, HUNT & SHIELDS","Evans, Novak, Hunt & Shields"
CNN RELIABLE SOURCES,Reliable Sources
CNN SATURDAY MORNING NEWS,Saturday Morning News
CNN SCIENCE AND TECHNOLOGY WEEK,Science and Technology Week
CNN YOUR HEALTH,Your Health
PEOPLE IN THE NEWS,CNN PEOPLE IN THE NEWS
CNN BUSINESS UNUSUAL,Business Unusual
CNN WORLD REPORT,World Report
CNN INTERNATIONALASIA TONIGHT,CNN INTERNATIONAL ASIA TONIGHT
CNN INTERNAITONAL ASIA TONIGHT,CNN INTERNATIONAL ASIA TONIGHT
CNN CNNdotCOM,CNNdotCOM
CNN WORLDBEAT,WorldBeat
EBIZ ASIA,BIZ ASIA
CNN WORLDVIEW,WorldView
FIRST EVENING NEWS,CNN FIRST EVENING NEWS
LIVE EVENT/SPECIAL,CNN Live Event/Special
CNN FIRST EVENING NEWS,FIRST EVENING NEWS
CNN DIPLOMATIC LICENSE,DIPLOMATIC LICENSE
"CNN NOVAK, HUNT & SHIELDS","Evans, Novak, Hunt & Shields"
CNN NEWS NIGHT AARON BROWN,CNN NEWSNIGHT WITH AARON BROWN
CNN NEWSNIGHT AARON BROWN,CNN NEWSNIGHT WITH AARON BROWN
CNN AT DAYBREAK,CNN DAYBREAK
MORNINGS WITH PAULA ZAHN,AMERICAN MORNING WITH PAULA ZAHN
TARGET: TERRORISM,CNN TARGET: TERRORISM
SPECIAL REPORT,CNN Special Reports
CNN THE POINT,THE POINT
AMERICAN MORNING WITH PAULA ZAHN,CNN AMERICAN MORNING WITH PAULA ZAHN
CNN STUDENT NEWS,STUDENT NEWS
LIVE FROM AFGHANISTAN,CNN LIVE FROM AFGHANISTAN
LIVE ON LOCATION,CNN LIVE ON LOCATION
CNN SATURDAY NIGHT,CNN SATURDAY EVENING
THE POINT,CNN THE POINT
AMERICAN STORIES,CNN AMERICAN STORIES
CNN SHOWDOWN ON IRAQ,CNN SHOWDOWN: IRAQ
BUSINESS TRAVELLER,BUSINESS TRAVELER
Q&A; WITH ZAIN VERJEE AND JIM CLANCY,CNN WITH ZAIN VERJEE AND JIM CLANCY
JUDY WOODRUFFS'S INSIDE POLITICS,JUDY WOODRUFF'S INSIDE POLITICS
CNN LIVE SATURDAY,CNN SATURDAY
ON THE STORY,CNN ON THE STORY
INSIDE POLITICS SUNDAY,Inside Politics
CNN SHOWBIZ TODAY,Showbiz Today
IN THE MONEY,CNN IN THE MONEY
CNNGO,CNN Go
STUDENT NEWS,CNN STUDENT NEWS
CNN CROSSFIRE,Crossfire
COUNTDOW,Countdown
LESTER HOLT,LESTER HOLT LIVE
LIVE WITH DAN ABRAMS,VERDICT WITH DAN ABRAMS
THE RACHEL MADDOW SHOW,The Rachel Maddow Show
THE LAST WORD WITH LAWRENCE O' DONNELL,The Last Word with Lawrence O'Donnell
THE LAST WORD WITH LAWRENCE O'DONNELL,The Last Word with Lawrence O'Donnell
MELISSA-HARRIS-PERRY,The Melissa Harris-Perry Show
UP WITH CHRIS HAYES,All In With Chris Hayes
MELISSA HARRIS-PERRY,The Melissa Harris-Perry Show
UP with CHRIS HAYES,All In With Chris Hayes
The Last Word with Lawrence O'Donnell,The Last Word with Lawrence O'Donnell
The Last Word with Lawrence O'Donnell' for,The Last Word with Lawrence O'Donnell
The Last Word with Lawrence O'Donnell' forTuesday,The Last Word with Lawrence O'Donnell
The Last Word with Lawrence O'Donnell' foThursday,The Last Word with Lawrence O'Donnell
Hardball with Chris Matthews' forTuesday,Hardball with Chris Matthews
Hardball with Chris Matthews' forWednesday,Hardball with Chris Matthews
The Rachel Maddow Show' Friday,The Rachel Maddow Show
The Last Word with Lawrence O'Donnell' Wednesday,The Last Word with Lawrence O'Donnell
The Last Word with Lawrence O'Donnell' forThursday,The Last Word with Lawrence O'Donnell
The Rachel Maddow Show'forÃÂ  Monday,The Rachel Maddow Show
