,Unnamed: 0,channel.name,program.name,text,prob_soft_news_us,full_date
1012769,1303318,CNN,Dr. Drew,"DR. DREW PINSKY, HOST: Here we go. Christmas right around the corner, guys, but how about taking a one hour breather right now. Sit back, put your feet up and join us for 60 minutes of give and take about the stories you care about most. Let`s get started. Good evening. You guys know Paulina Porizkova as a supermodel and rock star`s wife, which you might not know is that behind her face beautiful face was another woman entirely. One who hid a secret that she candidly discussed with me recently. Watch. (BEGIN VIDEOTAPE) PINSKY: Paulina Porizkova was a supermodel in the 1980s and graced the covers of ""Sports Illustrated"" famed swimsuit edition not once but twice. And she`s now a talented writer and currently blogs for the ""Huffington Post."" She caught our attention when she recently wrote an article titled, ""Ending a mid-life affair with meds,"" in which she talks about her severe anxiety attacks and some depressive symptoms, and how she turned to the antidepressant Lexapro for help. So welcome, Paulina. Now, why - PAULINA PORIZKOVA, HAD ""AFFAIR"" WITH ANTIDEPRESSANTS: Thank you. PINSKY: Before I ask you questions about why publicize this, now, let me give my personal reveals (ph) out of the way - PORIZKOVA: Please. I`ve been waiting for this (ph). PINSKY: Well, I know I just told you (INAUDIBLE), but my daughter is named Paulina and it was actually a friend of ours that said, ""You know, Paulina Porizkova is Czech, which my wife is Czech (ph) and that name is so pretty, and Paulina Pinsky and Paulina Porizkova and that`s just - PORIZKOVA: P.P. PINSKY: -- P.P. as we call her. PORIZKOVA: You know, that would be a little scary if you didn`t clarify. PINSKY: I know. It sounds like I`m just kind of a weird stalker. But it is in fact the case that we named her after you, so thank you for that. And that she`s heading up to New York for college. PORIZKOVA: Oh, my God, I`m so proud. Thank you. Is she just beautiful and intelligent - PINSKY: Yes. Just the same as you, exactly. Exactly. PORIZKOVA: Yes, exactly. PINSKY: So let`s go on with Lexapro - as I blush here. Let us - let us talk about Lexapro. Why publicize this issue now? PORIZKOVA: Well, you know what, I never thought of it as publicizing initially to tell you the truth, because I write, you know I`m a writer, and I write a blog for HuffPo, and I sort of write things that come to my mind. You know, I just - things I notice, things that I think about. And it seems that women my age sort of tend to, you know, we tend to think very much alike about aging and beauty and fame. And so I just thought, you know, this is something that I was dealing with and there was one point in my life when I was on Lexapro where I was - I",0.9998187083615973,2011-12-23
2150903,2468967,CNN,The Situation Room,"for the CDC guidelines on the so called travel advisory. Once you get that, let us know. In the meantime, I want to bring back Richard Quest who does a lot about aviation travel advisory. What do you think? What's your reaction? How would this work? Will airlines be ready to help enforce some sort of new travel advisory that the governors in consultation with federal authorities might come up with? QUEST: They would if it had the force of law, but since it's an advisory, it doesn't sound like it's going to be that. I'm guessing, Wolf, it's going to be something like the advisory the CDC put out on Thursday, when the President had said he wanted all people leaving New York to be quarantined for 14 days or self-quarantine. In that particular one, it talks about truck drivers and other people needing supplies, stay in their vehicles, only traveling when absolutely necessary. Bearing in mind, he doesn't probably have the legal authority to create a full-blown quarantine or lockdown. And anyway, how would you do it? You know, who's going to be across the streets to stop people from going one side to the other? So bearing in mind, it's going to have to be based on the governors, and the governors aren't going to do it. So you're left with an advisory, which essentially means, Wolf, a reinforcing of the President Trump's existing guidelines, which is don't travel. And we've seen this with the airlines, by the way. If you look at all the major airlines, even within their seating plans, they're now doing social distancing, giving more space between passengers on the planes, which isn't difficult at the moment, because it's widely believed that -- well, it's widely believed that load factors number of people traveling is less than 20 percent of what it was. BLITZER: Good point, Richard Quest, reporting for us. Richard, thank you very much. The coronavirus has Russia now taking what appears to be some very dramatic moves. It's closing its borders. We'll go live to CNN's longtime Moscow correspondent to get the very latest. Stay with us here in THE SITUATION ROOM. (COMMERCIAL BREAK) BLITZER: Russia is now taking a very dramatic step to contain and prevent the spread of coronavirus. Effective tomorrow night, Moscow time, nearly all of Russia's borders will be closed. This means air travel, rail, road, and pedestrian traffic into and out of other countries, all shut down. Our senior international correspondent, Matthew Chance, is in London right now. Matthew, just a few days ago, President Vladimir Putin announced to the Russian people that the outbreak of coronavirus was in his words, under control. But closing the borders indicates otherwise, doesn't it? MATTHEW CHANCE, CNN SENIOR INTERNATIONAL CORRESPONDENT: It does. It indicates that finally the authorities in Russia are coming to grips with in confronting with the really dire situation they've got in front of them in terms of this coronavirus outbreak. You're right, all along,",0.999626307922272,2020-03-28
858332,1135419,CNN,CNN Newsroom,"and, if at all, that punk affected this doc. BOUDREAU: I was going to meet James O'Keefe. He was going to be part of a video shoot that was coming up that we were going to be a part of. And he had questions and concerns about having us there at the shoot. So he said, why don't you meet us in Maryland and we can talk about my concerns. I said, sure. He wanted me to come alone. I went alone. What ended up happening -- very long story. There was a plan to try to get me onto a boat and to fake seduce me on this boat or who knows how far it would have gone? It was a plan to embarrass me, to embarrass CNN, and that's essentially what you're referring to. But as far as how much will it be a part of the documentary, it will be part of it, because it was part of our journey as a reporter working on this story. But it is not the whole documentary by any means. We talked to a lot of young conservatives. and they're all going to be part of this documentary. Like I said, it is just a fly on the wall glimpse into this movement. And we'll see, hopefully, people find it interesting. BALDWIN: What time? BOUDREAU: 8:00 and 11:00 tonight, Saturday and Sunday. BALDWIN: Abby Boudreau, good deal. BOUDREAU: OK, thanks. BALDWIN: I'll watch. I'll watch. (LAUGHTER) You can watch that entire documentary called ""Right on the Edge"" tonight and Sunday, 8:00 and 11:00 eastern time. If you are headed to Europe any time soon, the U.S. State Department is expected to issue this new travel advisory. What does that mean and why are they doing it now? Find out coming up. (COMMERCIAL BREAK) BALDWIN: I want to take you back to our breaking story tonight, and that is the fact that Americans abroad, in Europe specifically, may soon be told to be extra careful. The U.S. State Department says an abundance of information about possible terror attacks is likely to bring a new travel advisory, we're hearing, as early as tomorrow morning. In fact, one U.S. official tells CNN it is a, quote, ""serious situation."" CNN's Phil Black joins us now from London. Phil, if I can begin on the British side, what are you hearing from government officials, parliament officials there? PHIL BLACK, CNN NEWS CORRESPONDENT: We've got some insight, Brooke, from a British intelligence official, a source that has told us that it's believed that this possible warning from the U.S. government is not related to any new intelligence about a threat or a plot, potential plot in Europe that was made public a few days ago. We learned of a plot, described as a possible Mumbai-style attack, like the one that took place in Mumbai two years ago, with a team of people attacking multiple sites, using small arms, guns and grenades. So we're told that it's",0.999626307922272,2010-10-02
1755991,2071762,CNN,New Day Saturday,"has issued warnings before and advisories as well. Cornell, to you, this law as Paris pointed out there, matches the Title 7 of Civil Rights Act of 1964. Let's put that up. An unlawful employment practice is established when the complaining party demonstrates that race, color, religion, sex or national origin was a motivating factor for any employment practice. So what's wrong with making this mirror the federal statute? BROOKS: Let's be clear. First of all, state laws don't necessarily have to match Title 7. Point one. Point two, the law was sponsored by a legislator whose own business was being sued. Point one. Point two, the law also caps the amount of damages victims of discrimination are able to get. So in other words, it's harder to make a case of discrimination and it's harder to be made whole after you've been discriminated against. This law has been passed in a state with a long ugly history of discrimination. We recall that Michael Brown lost his life in Ferguson. We recall a young man by the name of Toy Sanford who ran out of gas, ended up in a jail cell, held for 96 hours without being arrested and who died there. This is also a state in which the students at the University of Missouri have been subjected to ugly racial slurs and bigotry. The point being here is that the NAACP state confidence issued this travel advisory out of concern for the citizens of the state. In the same way that the State Department being concerned about American citizens travel ago broad, the NAACP state confidence and the national NAACP being concerned about citizens traveling within Missouri. DENNARD: Victor -- (CROSSTALK) BLACKWELL: Go ahead. DENNARD: If the NAACP was so concerned about people traveling at the states they would issue travel advisories for people in their own headquarter in Baltimore, Maryland. They would issue travel advisories for the people in -- (CROSSTALK) BLACKWELL: Let me finish. Let him finish. DENNARD: They would issue travel advisories for people traveling in Chicago, Illinois. If you're going to talk about the whole history of things that had been, quote-unquote, discriminatory or bad for African-Americans which I am not denying. My point is simply this. When you have the Church of God in Christ the largest Pentecostal organization with 60 million members in the U.S. and economic impact in St. Louis in 2016 estimated for $30 million. 40,000 people coming into that city every year. You're going to tell them stay away? This policy, this ban, it's horrible. BLACKWELL: Well, how about -- DENNARD: Because it directly impacts its people who they actually need to serve. BLACKWELL: But the people in Missouri are not the only people being discriminated against in the country. Why specifically the state? And if you could talk to this as well, it expires on August 28th. I mean, that's the date that the law goes into effect. Why would that be the expiration date? Is this",0.999626307922272,2017-08-05
2307408,2627895,CNN,Early Start With John Berman And Zoraida Sambolin,"has a public servant had a better group of people working at their side. Together, we have accomplished so much and I know you will keep up the good fight. Joe in the White House certainly helps. I always knew it would be okay if I arrived someplace and was greeted by one of you. My best to all of you, Fritz. We'll be right back. (COMMERCIAL BREAK) ROMANS: All right. So, remember all that time you spent wiping down your groceries? (BEGIN VIDEO CLIP) UNIDENTIFIED MALE: Virus transmission through direct contact, droplets and airborne aerosols. (END VIDEO CLIP) ROMANS: The CDC now says the risk of getting coronavirus from contaminated surfaces is low, although the risk is slightly higher indoors. And new this morning, a coalition of 60 top hospitals and health care institutions joined forces to encourage adults to get vaccinated. JARRETT: The nationwide campaign is designed to reassure that minorities and people living in rural communities that the vaccines are safe, effective and necessary to return to normal activities. Still some states are loosening up right now, Connecticut is ending all restrictions on May 19th, the governor still recommends wearing masks indoors, though, and more colleges now requiring vaccines to return to campus. EARLY START has the pandemic covered coast to coast. (BEGIN VIDEOTAPE) BIANNA GOLODRYGA, CNN SENIOR GLOBAL AFFAIRS ANALYST: I'm Bianna Golodryga in New York. Two of the nation's most prestigious universities have announced that they will require all students to be fully vaccinated for COVID-19 before returning to campus in the fall. Yale and Columbia Universities joined more than three dozen U.S. colleges and universities such as Georgetown, Duke, Rutgers, Pomona and the University of Seattle in Washington requiring student vaccinations. Schools will provide vaccines. Schools will provide vaccines for students who have yet to be vaccinated. ALEXANDRA FIELD, CNN CORRESPONDENT: I'm Alexandra Field. More than half of all U.S. adults have now received at least one dose of a vaccine, now officials are turning their attention to those who may be more hesitant to get a shot. In Mercer County, Ohio, they are struggling to fill appointments at one drive through vaccination location. Appointments are now down by about half what they were when the site launched back in January. Local health officials are saying they're seeing similar trends throughout the state of Ohio, particularly in rural areas. KYLIE ATWOOD, CNN NATIONAL SECURITY CORRESPONDENT: I'm Kylie Atwood at the State Department. The Biden administration continues to urge all Americans not to travel abroad due to the coronavirus pandemic. And the State Department issued a statement on Monday saying that they are going to be updating their travel advisories to be more in line with the travel advisories coming from the CDC. And as a result, they're going to be approximately 80 percent of countries worldwide that are now going to be at the level 4 travel advisory from the State Department. That is their highest level travel advisory, it means do not travel.",0.999626307922272,2021-04-20
2315170,2635716,CNN,CNN Newsroom,"towards Tokyo. The cases here, continuing to rise as well so with less than 3 months to go before these games are set to take place, again the idea that they're going to be held, no matter what, even if the pandemic continues to play out the way it is, seems inevitable. Michael? HOLMES: Yes. All right. Good stuff there, Blake. Thank you. Blake Essig in Tokyo for us. Now, we are monitoring rescue efforts to free a whale stranded in the River Thames in London and up near (INAUDIBLE). Up the enrichment, if you know London which is they're way up so damns rescue has been hosing the whale down while marine experts work to move it. Officials say the whale was spotted Sunday. It's believed to be a small Binky (pp) whale about three members or almost 10 people on. Thanks you for spending part of your day with me. I am Michael Holmes. Don't go anywhere, Robyn Curnow will be along in just a moment.",0.999626307922272,2021-05-10
858554,1135742,CNN,CNN: Special Investigations Unit,"BROOKE BALDWIN, CNN ANCHOR: Hi there. I'm Brooke Baldwin at the CNN World Headquarters here in Atlanta. Here's a look at some of the stories at this hour. First, the U.S. State Department is expected to issue a new travel advisory to Americans in Europe. An advisory we're hearing could come as early as tomorrow morning and U.S. officials say it will urge Americans to be vigilante, be alert in public spaces, tourist spots, transportation hubs. One senior U.S. official is calling this, quote, ""a serious situation."" The official also says U.S. Military Bases are also taking precautions. The advisory, by the way, is based on an increase in terror threat information, not on any one specific threat. Earlier, I spoke with CNN's Phil Black about how the British are now reacting to this new terror information. (BEGIN VIDEO CLIP) PHIL BLACK, CNN INTERNATIONAL CORRESPONDENT: We learned of a plot that was described as a possible Mumbai style attack like the one that took place in the City of Mumbai two years ago, with a team of people attacking multiple sites using small arms - guns and grenades, that sort of thing. So we're told that it's no new intelligence pointing to that but we're told that officials in Europe and the United States are taking that potential threat so seriously that America would consider issuing a warning just like the one that we're hearing about. This British Intelligence sources also told us there's another potential reason behind this. That is a feared backlash against France and its legislation to ban women from wearing the full face veil, the so-called burqa ban. But crucially, we're hearing in Britain that there are no plans for Britain to increase its security threat. That remains it's severe, which means a threat is considered highly likely it's the second highest level. (END VIDEO CLIP) BALDWIN: Again, to be clear, the travel advisory for Americans in Europe has not yet been issued. And those are the headlines. CNN Special Investigation we're calling ""RIGHT ON THE EDGE"" starts now. (BEGIN VIDEOTAPE) UNIDENTIFIED FEMALE: The type of business or service you provide. Let me make sure there's a code for it, OK? UNIDENTIFIED MALE: A code for prostitution. UNIDENTIFIED FEMALE: Dancing. Dancing is considered an art. UNIDENTIFIED MALE: Sex is kind of like dancing, right? UNIDENTIFIED FEMALE: Yes. ABBIE BOUDREAU, CNN HOST (voice-over): A new generation of Conservatives. Hannah Giles and James O'Keefe. They dressed up as a prostitute and a pimp to expose ACORN. UNIDENTIFIED FEMALE: (INAUDIBLE). BOUDREAU: Lila Rose. LILA ROSE, PRO-LIFE ACTIVIST: (INAUDIBLE). BOUDREAU: She's an anti-abortion activist who poses undercover at Planned Parenthood clinics around the country. ROSE: (INAUDIBLE) right now. They were burned at the stake. They were shot for what they believed in. What are we going to do? BOUDREAU: Christian Hartsock, works in Hollywood and directs films with a Conservative message. CHRISTIAN HARTSOCK, FILMMAKER, ACTIVIST: Freeze. BOUDREAU (on camera): How far do you think young Conservatives will go to expose",0.999626307922272,2010-10-03
163859,295171,CNN,CNN Live Today,"CORRESPONDENT: And good morning to you, Daryn. As you walk through the city here, you don't see very many people at all. In fact, I haven't seen any people at all wearing masks. Just saw one person at the airport. You don't get the sense here that there's any sort of panic at all, but you do get the strong sense that there is a lot of anger, especially directed at the World Health Organization for issuing that travel advisory. One person who was especially angry is Toronto's mayor, Mel Lastman, who spoke about the economic impact of the SARS fear on the city. (BEGIN VIDEO CLIP) MEL LASTMAN, TORONTO, ONTARIO: We depend greatly on tourism -- we get 22 million tourists a year, and yes, our city is continuing, they're moving the way they always do, they're working, the malls are jammed, but the hotels aren't doing much business and the restaurants aren't. We need the tourists, and they're hurting us. And to wait three weeks is ridiculous when they haven't even been here in the first place. (END VIDEO CLIP) CARROLL: We've been taking the pulse of people here in the community. Joining me right now, two day care workers, along with six babies to sort of give us their opinions what's been happening in the city. I'm going to start here with you. Give us a sense of what you've been thinking, especially in terms of what the WHO decided to do by issuing that travel advisory. UNIDENTIFIED FEMALE: I think they sort of blew it out of proportion. I mean, people are really nervous now about just traveling and everybody's wearing masks, and I think it's not really necessary for not everyone, you know, like I think people who are -- who have the weak immune system and the elderly might want to take extra precaution, but you know, it's a little blown out of proportion I believe. CARROLL: Bridget, I'm going to move over to your friend here, Nicole. Nicole, again, obviously, WHO has issued that travel advisory. You were pretty upset about that. UNIDENTIFIED FEMALE: Yeah, I think you know, there is really no need for it, as you can see, really nobody's wearing masks. A lot of people aren't scared by it. People are still going out and having fun and you know, Toronto's a really great city to enjoy. So you know, they're taking the precautions that they are at the hospitals, which is great. So there's really no need to worry about it, and to say that people shouldn't come to Toronto, you know, when there are worse things going on, it just seems a little silly. CARROLL: Two folks here with six babies. You feel as though it's been blown out of proportion. Want to thank you very much for joining us. Earlier the mayor of Toronto spoke about three weeks. I want to talk a little bit about that. At the end of three weeks, the World Health Organization",0.999626307922272,2003-04-25
2204394,2523270,CNN,CNN Newsroom,"I think that's very important for anyone willing to help out given the endemic corruption and mismanagement behind Lebanon for many, many years -- Kim. BRUNHUBER: All right, we appreciate it. Thank you so much. Isa Soares in London. Well the U.S. State Department has lifted its global do not travel advisory. But don't pack your bags just yet. We'll explain what it all means coming up just ahead. (COMMERCIAL BREAK) BRUNHUBER: Well, the U.S. State Department has lifted its global do not travel advisory. It had been in places March. Now this comes as many countries around the world reduce their number of coronavirus infections but it also comes as Americans face travel restrictions from other countries as cases soar in the U.S. CNN's Kylie Atwood reports. (BEGIN VIDEOTAPE) KYLIE ATWOOD, CNN NATIONAL SECURITY CORRESPONDENT: The State Department has lifted its global do not travel advisory that took place in March as the coronavirus pandemic was sweeping the globe. And so, Americans are now going to have to look country by country for these travel advisories. Because the State Department says there are certain countries where the situation is improving, there are certain countries where the situation is deteriorating. So they want to give American travelers actionable advice when they have plans to travel. Now we should note, however, that this doesn't mean that Americans are going to be able to travel anywhere they like. Of course, the EU is still keeping out Americans. The U.S. remains the worldwide epicenter of the coronavirus pandemic with 160,000 deaths in the U.S. alone. That is why other countries want to keep Americans out. And even on the U.S. borders with Canada and Mexico, there is still no non-essential travel that is allowed at this time. Kylie Atwood, CNN, the State Department. (END VIDEOTAPE) BRUNHUBER: Many in Europe have been watching the U.S. numbers closely as they seek to contain the virus in their own borders. Starting this weekend, Germany will require people arriving from countries deemed high risk to take COVID-19 tests when they enter the country. Fred Pleitgen has the details. (BEGIN VIDEOTAPE) FRED PLEITGEN, CNN SENIOR INTERNATIONAL CORRESPONDENT (voice-over): It's the new normal for anyone arriving at German airports. Get your suitcase and then get a coronavirus test. Toby Rosen just got back home to Berlin. TOBY ROSEN, TRAVELER: The line seemed pretty short, probably like 30 minutes or so. And I think we get results in the next 24 hours. PLEITGEN: Germany is offering all travelers arriving here free coronavirus tests. And starting Saturday, people coming from high-risk areas will be required to get tested on arrival. (on camera): The German government says it doesn't want the situation here to deteriorate for instance the way it has in the United States with tens of thousands of new cases every day. That's why they are taking the drastic step of offering everyone who enters the country a coronavirus test. (voice-over): Germany has the capacity for about 1.2 million tests",0.999626307922272,2020-08-07
1755992,2071763,CNN,New Day Saturday,"just publicity? DENNARD: A political stunt. BROOKS: No, let's be very clear about this. This is not a publicity stunt. This is a civil rights measure based on widely known facts. The fact of the matter is, in the state of Missouri, African-American citizens are 75 percent more likely to be detained by the police than their white counterparts. Those are facts. The racial disparities with respect to policing in the state are well-known facts. The NAACP state conference and the national NAACP took this step to provide a measure of protection for citizens traveling within the state. It is not an economic boycott. Let's focus on the facts. It is a travel advisory. In other words, making people aware of the unjust and unsafe civil rights conditions within the state of Missouri. BLACKWELL: But -- DENNARD: Well, issue a travel advisory for Baltimore, issue a travel advisory for Chicago. BLACKWELL: Hold on, let me ask you this question, Cornell. It's a travel advisory -- considering your former role with the NAACP, it's a travel advisory that ends in three weeks. What is expected to happen that's going to be dramatically different once the law takes effect that the NAACP has these quarrels with, that you would end it at the end of the month? BROOKS: Well, first of all, the travel advisory was issued in response to the passage of the law. It is a first step, not necessarily the last step. That's the first point here. The second point here is, this travel advisory goes to the civil rights conditions within the state of Missouri. As a nation's oldest civil rights organization, we're concerned about the conditions on the ground in Missouri. And here's what we've not heard. We've not heard anyone contest the lack of safety for the citizens in the state of Missouri in terms of policing. We've not heard that. And so, the point being here, the NAACP took a critical first step. It's not necessarily the last step. BLACKWELL: It's important to point out that those stats that you reported, I think we have them, we can put them on the screen, actually came from the attorney general in Missouri. BROOKS: That's right. BLACKWELL: From the 2016 report. Not from the NAACP. So this is the state acknowledging their own issues as it relates to the disparities between African-Americans and their white counterparts with being stopped and searched. Paris, last word goes to you. DENNARD: Nobody denies the fact that there are obviously some serious issues going on with our brothers and sisters in the state of Missouri. Especially St. Louis. That's a fact. But for the NAACP to not also focus on other cities like Baltimore, like Chicago, or different states is just disingenuous. This looks like a political stunt. If you have a problem with the bill, there are other ways of going after the bill without punishing the very people that you're sworn to protect. BLITZER: We got to wrap it",1.0,2017-08-05
