,Unnamed: 0,channel.name,program.name,text,prob_soft_news_us,full_date
2313741,2634275,CNN,CNN Newsroom,"corporations and organizations, including some big names, like American Airlines, Microsoft, HP, Patagonia. And they have said, look, we basically don't want any kind of legislation that could make it harder for eligible voters to cast their ballot. So, Victor, Alisyn, they didn't speak specifically to these two overhaul bills. But this is some of the stronger outspokenness that we have heard from businesses in the community. And I spoke with Representative Joaquin Castro earlier this morning. He told me that, in seeing those businesses speak out, that they think that perhaps there could be some last-minute softening at least on the legislation before it continues down the process to most likely go to the governor's desk here. Now, of course, in -- like we have seen in other states, Republicans here say the reason why they think they need this is for ballot security. But they have not really provided any sort of evidence for fraud that they are trying to prevent. BLACKWELL: And that vote just a few hours away. Dianne Gallagher for us there -- Dianne, thanks so much. So, House Republicans could vote as soon as next week on whether Congresswoman Liz Cheney will lose her leadership position. Now, sources tell CNN that allies of former President Trump are looking for possible challenges to her reelection in Wyoming. And Cheney is reiterating her firm belief that this is about more than her leadership position, that the GOP cannot be the party of Trump. This is in a new op-ed for ""The Washington Post."" CAMEROTA: Yes, and I just want to take a minute to read this op-ed, because I think that her words are so important right now. So here's what Liz Cheney writes. She says: ""While embracing or ignoring Trump's statements might seem attractive to some for fund-raising and political purposes, that approach will do profound long-term damage to our party and our country. Trump has never expressed remorse or regret for the attack of January 6, and now suggests that our elections and our legal and constitutional system cannot be trusted to do the will of the people. ""This is immensely harmful, especially as we now compete on the world stage against communist China and its claims that democracy is a failed system. We Republicans need to stand for genuinely conservative principles and steer away from the dangerous and anti-democratic Trump cult of personality. History is watching. Our children are watching."" CNN chief political analyst Gloria Borger joins us. It's really a remarkable op-ed that she wrote there. GLORIA BORGER, CNN CHIEF POLITICAL ANALYST: It is. It was kind of stunning to read it, because what she did was say, OK, I know you're going to throw me out of the leadership. That's a done deal. But I refuse to change my mind and to pay homage to Donald Trump, who I think is destroying conservatism. And what she did in that op-ed was, she kind of made the case for conservatism vs. cultism,",0.0,2021-05-06
1920932,2237277,CNN,Early Start With John Berman And Zoraida Sambolin,"(BEGIN VIDEO CLIP) DONALD TRUMP, PRESIDENT OF THE UNITED STATES: Even liberals that hate me say that's terrible what they did. (END VIDEO CLIP) CHRISTINE ROMANS, CNN ANCHOR: President Trump venting after an op-ed that targeted his own administration from within. After a day of denials, how close is the White House to finding the mystery author? DAVE BRIGGS, CNN ANCHOR: U.S. troops could be in Syria much longer than expected. Russia, meanwhile, warning the U.S. American troops could come under attack. We're live in Damascus. ROMANS: The August jobs report comes out this morning, projections for unemployment and wages just a few hours away. BRIGGS: And Twitter says enough is enough for Alex Jones. The conspiracy peddler booted from the social platform. Also the NFL season, folks, got under way late last night. ROMANS: Yes. BRIGGS: The Super Bowl champs opened their defense. ROMANS: Yes. BRIGGS: Good morning, everyone. Welcome to EARLY START. I'm Dave Briggs. ROMANS: And I'm Christine Romans. It is Friday, September 7th. It is 4:00 a.m. in the East. Let me repeat it, it's Friday. BRIGGS: Savor for a moment. ROMANS: All right. It wasn't me. Repeated denials from the president's allies after that scathing op-ed from an anonymous senior official in the ""New York Times."" Top members of the administration denying authorship, calling the op-ed amateur, laughable, sophomoric, deceitful and a lot more. We're told the president was reading the denials closely. They're being immediately printed out and delivered to him as they roll in. The White House may be closer to figuring out who that author was. The ""Times"" citing an outside adviser says the administration has about a dozen names on its list. BRIGGS: First Lady Melania Trump even weighing in, calling the op-ed author, quote, cowardly, claiming he or she is sabotaging the country. But she also cited the importance of a free press. Senator Rand Paul offered up this stunning idea. (BEGIN VIDEO CLIP) SEN. RAND PAUL (R), KENTUCKY: I think if you have a security clearance in the White House, I think it would be acceptable to use a lie detector test and ask people whether or not they're talking to the media against the policy of the White House. (END VIDEO CLIP) ROMANS: Smoke them out. BRIGGS: The libertarian Rand Paul wants lie detector tests for administration officials. Savor that. The president had a lot to say about the ""New York Times"" and the mysterious op-ed writer at a rally in Billings, Montana, last night. Jim Acosta was there. He has more. JIM ACOSTA, CNN SENIOR WHITE HOUSE CORRESPONDENT: President Trump weighed in on that anonymous op-ed in the ""New York Times"" reportedly from a senior administration official who says that person is part of the resistance in the Trump administration. During the rally in front of thousands of supporters, the president said he didn't know who it was, but reporters at ""The New York Times"" should investigate who the writer of the op-ed is. Here's what he",0.0,2018-09-07
2082231,2399346,CNN,CNN Newsroom,"Paula Newton, CNN. CHURCH: And thanks so much for joining us. I'm Rosemary Church. Vital Signs is up next. But first, I'll be back with the check of the headlines. You're watching CNN. Do stay with us. (COMMERCIAL BREAK)",0.0,2019-10-09
2195161,2513914,CNN,The Lead With Jake Tapper,"KATE BOLDUAN, CNN HOST: That starts this Sunday at 10:00 p.m. Eastern and Pacific, only on CNN. Thank you all so much for being with me. I'm Kate Bolduan. ""THE LEAD WITH JAKE TAPPER"" starts now. JAKE TAPPER, CNN HOST: Welcome to THE LEAD. I'm Jake Tapper. And we begin today with the health lead. This afternoon, the U.S. cross 3.5 million confirmed cases of coronavirus, as the death toll now tops 137,000. Right now, there are only two states in the United States, Delaware and Maine, that are seeing a decrease in infections. Dozens of hospitals throughout the country are overwhelmed with coronavirus patients. A hotel is now being converted into a health care facility in Laredo, Texas, the situation so dire that some counties in Arizona and Texas are being compelled to bring in refrigerated trucks because the morgues there are, sadly, filling up. And yet it was only one month ago today, June 16, when Vice President Pence wrote this ""Wall Street Journal"" op-ed titled: ""There Isn't a Coronavirus Second Wave,"" the vice president boasting about case numbers in decline that have since exploded. The vice president attacking the media for -- quote -- ""fear- mongering,"" the vice president falsely claiming -- quote -- ""We have slowed the spread' and -- quote -- ""We are winning the fight against the invisible enemy."" Take a look at this graph. Does it look like winning to you? The only way one could regard this as winning is if one were the coronavirus. There are more than a million new infections since the vice president wrote that op-ed, averaging nearly double the daily cases from the previous peak in April. And, still, the cry from health care experts for an aggressive nationwide testing and contact tracing program, to say nothing of an education program for those who continue to refuse to wear a mask in public, those go ignored by President Trump. Maryland Governor Larry Hogan today the latest Republican to sound the alarm about the lack of presidential leadership, writing in a new op- ed in ""The Washington Post"" -- quote -- ""It was clear that waiting around for the president to run the nation's response was hopeless. If we in Maryland delayed any longer, we'd be condemning more of our citizens to suffering and death"" -- unquote. Now, one of the few parts of that Pence op-ed from a month ago that withstands the scrutiny of one month of time passing is the idea that we are where we are because of -- quote -- ""the leadership of President Trump."" That's true. The vice president ended that op-ed saying that their work is -- quote -- ""a cause for celebration, not the media's fear- mongering"" -- unquote. Celebration, he said. That's not just embarrassing. That's an outrage. As we now, sadly, know, after a surge in cases, which we saw weeks ago, comes a surge in hospitalizations, and after that comes a surge in American deaths, which, as",0.0,2020-07-16
2228159,2547395,CNN,New Day Sunday,"president, the latest. Also, a worker in the press office. Many of these people attended that likely supervisor spreader event. The president's announcement to the court was in the Rose Garden last weekend, and several more were part of the White House debate prep where Christie says masks were optional. (BEGIN VIDEO CLIP) CHRIS CHRISTIE (R), FORMER NEW JERSEY GOVERNOR: No one was wearing masks in the room when we were prepping the president during that period of time, and we were -- the group was five or six people in total. (END VIDEO CLIP) PAUL: There are concerns for him as well. We'll keep you posted on that. But I want to bring in emergency room physician and CNN Medical Analyst, Dr. Leana Wen. Dr. Wen, thank you so much for being with us. I want to get your most recent article in ""The Washington Post"", because we saw from you I think some very raw frustration that I haven't seen quite as deliberate as perhaps we saw here in the last 24 hours since you posted that. You wrote Saturday's briefing by President Trump's medical team was a deliberate exercise in obfuscation, insulting to the public and unbefitting the seriousness of the moment. Help us understand what you were feeling as you watched that. DR. LEANA WEN, CNN MEDICAL ANALYST: Well, there were so many unanswered questions in a way that it makes the sensation far more confusing and really this is a distressing time for the American people. There were key pieces of information that were missing. Every medical student, every nursing student knows that you cannot describe a patient's condition without beginning with their vital signs. Yet that was something that was even confusing. We never heard the vital signs. We got mixed messaging on whether the president was on oxygen or needed oxygen. They mentioned he was fever free but didn't mention if he was on fever reducing medications that lower his fever. And then diagnostic tests like looking at kidney function or liver function, but this is a respiratory disease. Presumably the president had some kind of respiratory involvement because he had a cough, congestion and as we later low oxygen saturation as well. But we never heard about a chest X-ray. It is not possible that the president of the United States did not get lung imaging when he had respiratory symptoms and a respiratory illness. And so, when we get information like that, where it looks like there's cherry picking of certain data to paint a certain picture, then we worry about what's being left out and why we're not being told the truth. PAUL: So, Conley did say he was extremely happy about the process that the president's made, but he warned of an inflammatory phase that sets in seven to ten days in, based on what we know about this virus. So, if he's on day four now, what would be done at this point, as you head into that",0.0,2020-10-04
1940199,2256621,CNN,The Lead With Jake Tapper,"everything the guy said. The governor said, look, this isn't about President Trump. This is about America. This isn't a red and blue issue. This is a red, white and blue issue. This is about how we dial it back overall. And that's a question that's going to -- you know, it's not going to end here. It's not going to end with this president. It's going to end -- PSAKI: But, David, I think the issue is when you're sitting in the Oval Office, you have the biggest megaphone in the country, and you are sending a message on how everybody should behave. URBAN: You know what, Jen, no matter what President Trump said, everyone would be on cable news saying he didn't go far enough, didn't say enough, didn't say -- listen, so let me ask you a question. When white powder was sent to the Trump children, I didn't hear anybody hue and cry on cable news saying, oh, my god, what is going on with the Trump kids, what are people attacking the Trump family? Where was it? Silence. HEYE: There wasn't enough outrage there. Senator Collins had a ricin scare. We're seeing GOP -- URBAN: Where is the equal ties to outrage? HEYE: There is too much anger out there? But the president is the leader of the free world and the leader of the country. It has to start with him, especially given the rhetoric that he said, knock the crap out of them, Hillary Clinton shouldn't have Secret Service protection. URBAN: I mean, you can't -- the ""New York Times"" published a fictional op-ed yesterday, talking about how does the Mueller probe end? One of the pieces was assassinate President Trump. It ran in ""New York Times"" yesterday. That's outrageous. HEYE: Absolutely. URBAN: That's outrageous. TAPPER: I mean, I think this is one of the things that you hear from conservatives, they talk about -- URBAN: Dialing back across the board. TAPPER: -- that everybody needs -- I know Democrats say there is no both sides on this. But this is an argument, why is there an op-ed in ""The Times"", I'm not holding you responsible for it. RYE: No, of course not. But I'm happy to say something on this. I don't think that it is excusable on any platform to talk about the assassination of anyone and definitely the president of the United States. I hope you don't hear me saying that. URBAN: No -- RYE: I was not aware of that op-ed, but I am saying that there is a unique responsibility that exists in the Oval Office. There is a unique responsibility that rests squarely in the lap of president Trump and what I think is abundantly frustrating to me and I would dare say many others is that he's held at a lower standard than me other leaders whether in Congress and Senate, you know, the print publication, CNN. URBAN: So, again, I wish this president would do",0.0,2018-10-25
1920931,2237276,CNN,Erin Burnett Outfront,"they were since August. This latest incident is not likely to help. What will help is profitability and Musk says the future quarter looks bright. It can't come soon enough -- Kate. BOLDUAN: Dan, thanks so much. Really appreciate it. OUTFRONT next, who wrote ""The New York Times"" anonymous op-ed? Jeanne Moos is on the case. (COMMERCIAL BREAK) BOLDUAN: Tonight, the guessing game apparently no one can resist. Here is Jeanne Moos. (BEGIN VIDEOTAPE) JEANNE MOOS, CNN NATIONAL CORRESPONDENT: It is without question the question of the summer. Who do you think wrote the op-ed? Momentary stumped silence on the street. And on TV? UNIDENTIFIED MALE: This could be this person or actually that person. It could be a lot of people. UNIDENTIFIED MALE: It was written by the secretary of. MOOS: Endless speculation. (MUSIC) MOOS: Punctuated by some daring to name names. UNIDENTIFIED MALE: I think it fits Dan Coats like a glove. UNIDENTIFIED MALE: Suggested that it was Kellyanne Conway. UNIDENTIFIED MALE: I think it was Mr. Vice President. MOOS: His suspicions raised by the op-ed's use of the word -- UNIDENTIFIED MALE: Lodestar. MOOS: A weird word that the president favors. MIKE PENCE, VICE PRESIDENT OF THE UNITED STATES: As our lodestar. You are a load star. MOOS: But could lodestar be a loaded word, pointing to Kellyanne Conway? UNIDENTIFIED MALE: She is the kind of person who would find out that Mike Pence used the word lodestar a lot and put lodestar in to try to pin it on Mike Pence. MOOS: Colbert claimed he had an exclusive with anonymous. Are you Mike Pence? UNIDENTIFIED MALE: No, I'm not. Even Mike Pence's silhouette is white. MOOS: On the betting site My Bookie, people were putting their money on Pence. Omarosa offered a multiple choice survey. The vice president's chief of staff came in first. But enough of the whodunit. Let's move on to who denies it. For instance, the vice president. UNIDENTIFIED MALE: He done it. MOOS: He denies it. UNIDENTIFIED MALE: He done it. MOOS: He denies it. UNIDENTIFIED MALE: Yes. MOOS: Spraying the walls of denial. UNIDENTIFIED FEMALE: It was not them. UNIDENTIFIED MALE: It's not me, I didn't do it. UNIDENTIFIED MALE: Remember that shaggy song. (MUSIC) MOOS: Someone tweeted a live look inside the White House as they tried to figure who wrote the op-ed. But if you're going to rip into -- UNIDENTIFIED FEMALE: Anonymous. MOOS: Better learn how to say it. TRUMP: Anonymous, anonymous, gutless. MOOS: Jeanne Moos, CNN. Who do you think wrote ""The New York Times"" op-ed? UNIDENTIFIED MALE: Very smart people. MOOS: New York. (END VIDEOTAPE) BOLDUAN: I am going to leave that there. Thanks for joining us. ""AC360"" starts now.",0.0,2018-09-07
1966962,2283534,CNN,Erin Burnett Outfront,"he asked him a very pointed question about that going to kiss the ring at Trump Tower in 2012 when the only thing that Donald Trump was known for, politically, was his ugly, racist birtherism. Romney pursued that endorsement. He welcomed it. He made a couple of birther jokes himself, nobody questions where I'm born. And so we've seen this again and again. He said all the right things during the campaign, but then he did go for the secretary of state job. He did graciously accept the endorsement in this last Senate race, which I really don't think he needed. So I don't expect much to come of this op-ed, I really don't. BURNETT: Is it all opportunistic, Scott? I mean, you know him. Is it all opportunistic now and, you know, some of the frustration that some have had with, you know, some of the retiring senators, right, is that when they'd stand up to the President and then they wouldn't and then they would and then they wouldn't, right, and it was all about what worked for them, it wasn't about taking a moral stand. Will it be different with Mitt Romney? SCOTT JENNINGS, SENIOR ADVISER TO THE ROMNEY 2012 CAMPAIGN: I think Mitt Romney will do what he's done throughout his Senate race and then today, which is to continue to say that he's going to call out the President when he engages in behavior that he disagrees with, but that he is going to continue to vote for the policies where they agree and that's frankly going to be 90 percent of the time. I mean, if you look carefully at the op-ed, he lays out all the policies that he supports and he specifically mentioned Mitch McConnell by name and says I look forward to working with Mitch McConnell and the rest of my colleagues to pass -- BURNETT: So what's he saying, Scott, I'm going to vote for every single thing the guy does but I'm going to call out his moral character? JENNINGS: Yes, that's exactly what he's going to do. I think this is going to be different than flake. At the end of flake's tenure, people want this to be another flake. Flake was actually doing what Romney said he wouldn't do, which is to cut off his nose to spite his face. I think Romney's always going to vote the way most Republicans would want a Republican senator to vote. I don't think that means he's going to hold his tongue on the behavior or the language or the communication style, but Mitt Romney at the end of this next converse is going to have a 90-plus percent voting score when you look at the Trump agenda, that's my prediction. BURNETT: So, you know, look, this op-ed made some people mad. Some people said, look, it's hypocritical, right, you know, when it works for him. PATRICK HEALY, POLITICS EDITOR, THE NEW YORK TIMES: Right. Mitt Romney's willing to attack",0.0,2019-01-02
1920110,2236451,CNN,The Situation Room,"we talk about this idea of a tipping point and, look. I've been at the ledge many times. OK? And I have fallen off the ledge many times, thinking that we've reached the tipping point. Let's acknowledge that. But I do think when we look back at - HERE DANA BASH, CNN CHIEF POLITICAL CORRESPONDENT: A long road. MARK PRESTON, CNN POLITICAL ANALYST: You know, a couple of things. I think we talk about this idea of a tipping point and, look. I've been at the ledge many times. OK? And I have fallen off the ledge many times, thinking that we've reached the tipping point. Let's acknowledge that. But I do think when we look back at the totality of what has happened and you look at the history of events, then you realize that the tipping point is not something that happens immediately. It's something that's a slow roll that eventually gets faster and faster and faster. And Joey probably understands this better than anybody, because he's in the courtroom when things like this happen. But in addition to that, this is what scares me. And I say this with all sincerity. It scares me now that the president is so outraged by the Woodward book right now that he is furious, and he is going into a greater bunker mentality than he has been in the past. And now we've seen this op-ed come out right now, so he's looking around saying, ""Who can I trust?"" And for somebody that we think has bouts of paranoia at times and bouts of anger and is not able to keep it in check, that's scary. JAMIE GANGEL, CNN SPECIAL CORRESPONDENT: Bob Woodward writes in his book and describes that his aides think the president is lonely. They think he's paranoid. There is a quote where he says, ""I think people are out to get me."" I think in that case he's talking about Robert Mueller. That he is watching six to eight hours of television. When you have this and you have the op-ed, and next Tuesday you're going to see names attached in great detail in the Woodward book, I think it's going to add to the -- BASH: Can I add one other thing to just to -- sort of atmospheric observation, that people who I talk to in and around Trump world, who are hopelessly optimistic no matter what happens, no matter how many cliffs they come to the edge of and what you've come to the edge of, Mark, are feeling and sounding really beaten down today. There's just a different vibe. Even coming through the phone and texts from these people that don't normally get beaten down. It's different. BLITZER: Yes, and it's like a one-two punch. The book yesterday and then all of a sudden, this op-ed today. And Phil, let me read another line from this op-ed: ""It may be cold comfort in this chaotic era, but Americans should know that there",0.0,2018-09-05
947302,1232686,CNN,CNN Newsroom,"of the Taliban to be upwards of 40,000. So what we've really is we're really in this conflict that is primarily local. Are there bad guys there? Absolutely. Am I saying we should completely abandon them and walk away from Afghanistan? No. We have security responsibilities around the world and al Qaeda is a threat, but it's a global threat. And (INAUDIBLE) small cells or individuals who are connected nearly virtually. So we have this problem with this cancer that is al Qaeda that may be a couple thousand people strong in a worldwide population of 1.5 billion. So the answer is not to have a hundred thousand troops in Afghanistan but to do things smartly, to go after them using good intelligence, through law enforcement means, or using special operation forces like we got Osama bin Laden in Pakistan earlier this spring. PHILLIPS: Matthew Ho, appreciate your time this morning. I know you'll be watching that speech tonight, as all of us will be. HO: Thanks, Kyra. PHILLIPS: You bet. We're going to stay on the story throughout the day and right up to the president's address to the nation. It's now scheduled for 8:00 p.m. Eastern, 5:00 Pacific. You can see it on CNN. Also amid the raging debate over same-sex marriage. A look at what the bible really says about homosexuality and some other things that just might surprise you. And also ahead, we might hear also from a surprise witness in the Casey Anthony murder trial this morning. At issue, what did she and Casey talk about when they spent their time together in jail? (COMMERCIAL BREAK) PHILLIPS: Lawmakers in New York are still wrangling over same-sex marriage two days after their legislative session was meant to end. Plenty of people on both sides of the issue are demonstrating now and a new op-ed on our Belief Blog has some pretty strong words for opponents of gay marriage saying they aren't really defending the bible's values, but are using the bible to defend their own. Jonathan Dudley wrote that op-ed. He's a graduate of Yale's Divinity School and he's the author ""Broken Words, the Abuse of Science and Faith in American Politics."" Jonathan, great to have you with us. You know, as I was reading your op-ed, you said that many of those who use the bible to oppose homosexuality are basically hypocrites. You actually used the words, quote, ""They're riddled with self-serving double standards."" Explain to me or explain to our viewers what you mean by that. JONATHAN DUDLEY, AUTHOR, ""BROKEN WORDS"": Sure, Kyra. Well, thanks for having me. So, basically, I'm not arguing that the apostle Paul who is the New Testament author who wrote about same-sex relations, I'm not arguing that he thought they were OK. What I try to point out in the column is that he condemned a lot of other things that Christians don't condemn today. So, for example, he argued that it's unnatural for men to have long hair",0.0,2011-06-22
